datetime_utc,x,y,z,vx,vy,vz
2020-01-01 01:00:00,-1027361.052989957,-3315095.1508679218,-5973192.030856819,-3738.6909240062764,-5490.051696919816,3678.0756870816267
2020-01-01 01:01:00,-1249285.0998973867,-3637048.3063738793,-5739674.47798264,-3656.098005671343,-5237.838984512881,4103.001094172923
2020-01-01 01:02:00,-1465775.1720635057,-3943181.4510467593,-5481191.017163066,-3557.6252764268506,-4962.9106004641835,4509.973263552045
2020-01-01 01:03:00,-1675891.1877660055,-4232167.264475578,-5198871.91161568,-3443.7074852972937,-4666.469568158131,4897.237056169247
2020-01-01 01:04:00,-1878721.1427928777,-4502753.378333492,-4893950.1722763665,-3314.845447052412,-4349.810351721428,5263.123872975103
2020-01-01 01:05:00,-2073385.008185712,-4753767.694570774,-4567756.15588964,-3171.603792146908,-4014.313190158049,5606.058572072431
2020-01-01 01:06:00,-2259038.485288161,-4984123.353561484,-4221711.760274361,-3014.6084621618525,-3661.4380992272495,5924.565975213747
2020-01-01 01:07:00,-2434876.6031740536,-5192823.333035652,-3857324.242076607,-2844.54396233814,-3292.718566753501,6217.27694153142
2020-01-01 01:08:00,-2600137.144244519,-5378964.660189635,-3476179.683593736,-2662.1503834323,-2909.7549676906056,6482.93398820201
2020-01-01 01:09:00,-2754103.8845351217,-5541742.220963336,-3079936.1364175077,-2468.2202057092113,-2514.207725803369,6720.396439545507
2020-01-01 01:10:00,-2896109.63605909,-5680452.1520988215,-2670316.470700623,-2263.5948984189895,-2107.7902492877993,6928.645087839624
2020-01-01 01:11:00,-3025539.079328365,-5794494.8032460725,-2249100.9598013596,-2049.1613285912285,-1692.2616680333877,7106.786350886846
2020-01-01 01:12:00,-3141831.3750377004,-5883377.258053511,-1818119.6309066128,-1825.8479934232223,-1269.419400546502,7254.055913105857
2020-01-01 01:13:00,-3244482.5447659567,-5946715.404870079,-1379244.4129759024,-1594.6210909441008,-841.0915788097094,7369.821838629928
2020-01-01 01:14:00,-3333047.6114409855,-5984235.549388468,-934381.1139891378,-1356.4804440081753,-409.1293595545592,7453.58714658462
2020-01-01 01:15:00,-3407142.4912280287,-5995775.563272623,-485461.2600204337,-1112.4552930117795,24.60084941934686,7504.991840388129
2020-01-01 01:16:00,-3466445.6294348026,-5981285.564534189,-34433.829099826755,-863.5999730419101,458.22521913363175,7523.814384574105
2020-01-01 01:17:00,-3510699.3739777124,-5940828.1271496955,416743.08683458256,-610.9894914547071,889.8703567100403,7509.972624283053
2020-01-01 01:18:00,-3539711.0809216816,-5874578.019140671,866110.6583496155,-355.7150221494811,1317.6711611836752,7463.524144210008
2020-01-01 01:19:00,-3553353.9475895185,-5782821.470070389,1311717.6996072012,-98.8793330510132,1739.7786489945192,7384.666065438518
2020-01-01 01:20:00,-3551567.5697344313,-5665954.970641438,1751629.0203990187,158.40783645981298,2154.3677203360767,7273.734280240087
2020-01-01 01:21:00,-3534358.220280042,-5524483.608805638,2183933.715447416,415.0344312194356,2559.64483761219,7131.202126579925
2020-01-01 01:22:00,-3501798.8481547986,-5359018.948519569,2606753.357449133,669.890751924213,2953.8555873649366,6957.678505749605
2020-01-01 01:23:00,-3454028.796780901,-5170276.458992797,3018250.0605946085,921.8741254418549,3335.2920971919816,6753.905448250445
2020-01-01 01:24:00,-3391253.2428202,-4959072.503978918,3416634.3816547776,1169.8935563497287,3702.300279375508,6520.755134782338
2020-01-01 01:25:00,-3313742.356829677,-4726320.902348749,3800173.0261913515,1412.8743421433253,4053.286873203003,6259.226380955216
2020-01-01 01:26:00,-3221830.1885351804,-4473029.072856938,4167196.328017253,1649.7626344736152,4386.726258279171,5970.44059613677
2020-01-01 01:27:00,-3115913.280492271,-4200293.777664025,4516105.4707135,1879.5299287220064,4701.167011515923,5655.637228681996
2020-01-01 01:28:00,-2996449.014965037,-3909296.4808013034,4845379.420799428,2101.17746421071,4995.238180951615,5316.168711657426
2020-01-01 01:29:00,-2863953.6999151064,-3601298.339360625,5153581.543056737,2313.7405173797783,5267.655250100116,4953.494925074204
2020-01-01 01:30:00,-2719000.4010509583,-3277634.8467505407,5439365.869526593,2516.2925703454694,5517.225767173736,4569.177192576154
2020-01-01 01:31:00,-2562216.5279388977,-2939710.1488776403,5701482.994834313,2707.949337393618,5742.854614270007,4164.87183248701
2020-01-01 01:32:00,-2394281.183218123,-2588991.0555814193,5938785.571749754,2887.872632162603,5943.548892469912,3742.3232850982176
2020-01-01 01:33:00,-2215922.2849893216,-2227000.7710654037,6150233.382263929,3055.274058539042,6118.422399772102,3303.3568400668914
2020-01-01 01:34:00,-2027913.473455007,-1855312.3684194386,6334897.960954316,3209.4185086316347,6266.699679891827,2849.8709897824397
