datetime_utc,ground_station,range_rate
2020-01-01 01:03:00,Australia,-6283.417942553328
2020-01-01 01:03:30,Australia,-6146.218459544347
2020-01-01 01:04:00,Australia,-5949.304076343397
2020-01-01 01:04:30,Australia,-5704.5532886799765
2020-01-01 01:05:00,Australia,-5365.2063202468935
2020-01-01 01:05:30,Australia,-4902.203738675415
2020-01-01 01:06:00,Australia,-4274.478568525484
2020-01-01 01:06:30,Australia,-3455.467434021655
2020-01-01 01:07:00,Australia,-2456.8092635859052
2020-01-01 01:07:30,Australia,-1236.5147623828902
2020-01-01 01:08:00,Australia,107.96089907055475
2020-01-01 01:08:30,Australia,1426.1420936605564
2020-01-01 01:09:00,Australia,2618.956049408686
2020-01-01 01:09:30,Australia,3636.3071375229015
2020-01-01 01:10:00,Australia,4397.161840143248
2020-01-01 01:10:30,Australia,4976.087939942871
2020-01-01 01:11:00,Australia,5420.918547317899
2020-01-01 01:11:30,Australia,5765.025515060891
2020-01-01 01:12:00,Australia,6006.73876398881
2020-01-01 01:12:30,Australia,6197.02259372267
2020-01-01 01:13:00,Australia,6344.514893255375
2020-01-01 01:13:30,Australia,6436.187136456438
2020-01-01 01:14:00,Australia,6531.592093837067
2020-01-01 01:35:30,Svalbard,-6896.087461055335
2020-01-01 01:36:00,Svalbard,-6801.388283998542
2020-01-01 01:36:30,Svalbard,-6723.5274731712225
2020-01-01 01:37:00,Svalbard,-6584.163936983771
2020-01-01 01:37:30,Svalbard,-6376.451770265687
2020-01-01 01:38:00,Svalbard,-6070.518397145253
2020-01-01 01:38:30,Svalbard,-5597.825150102003
2020-01-01 01:39:00,Svalbard,-4822.476681806338
2020-01-01 01:39:30,Svalbard,-3628.278902991479
2020-01-01 01:40:00,Svalbard,-1939.360931632856
2020-01-01 01:40:30,Svalbard,201.81787538925255
2020-01-01 01:41:00,Svalbard,2285.340950789309
2020-01-01 01:41:30,Svalbard,3892.0988593955562
2020-01-01 01:42:00,Svalbard,4990.380907943021
2020-01-01 01:42:30,Svalbard,5710.315940415422
2020-01-01 01:43:00,Svalbard,6135.939185417802
2020-01-01 01:43:30,Svalbard,6419.841938683137
2020-01-01 01:44:00,Svalbard,6624.801898040327
2020-01-01 01:44:30,Svalbard,6754.811470129539
2020-01-01 01:45:00,Svalbard,6856.42628125645
2020-01-01 01:45:30,Svalbard,6886.912982122487
2020-01-01 01:46:00,Svalbard,6945.751192564727
2020-01-01 01:46:30,Svalbard,6961.499762379371
2020-01-01 02:08:00,Argentina,-5871.690168302297
2020-01-01 02:08:30,Argentina,-5665.671397135305
2020-01-01 02:09:00,Argentina,-5373.660333186809
2020-01-01 02:09:30,Argentina,-4961.593447151136
2020-01-01 02:10:00,Argentina,-4472.368643716728
2020-01-01 02:10:30,Argentina,-3864.163136313842
2020-01-01 02:11:00,Argentina,-3070.090156354674
2020-01-01 02:11:30,Argentina,-2124.9019431397824
2020-01-01 02:12:00,Argentina,-1060.0687798809504
2020-01-01 02:12:30,Argentina,62.819863399512634
2020-01-01 02:13:00,Argentina,1205.9715639201518
2020-01-01 02:13:30,Argentina,2261.4796765246692
2020-01-01 02:14:00,Argentina,3146.6741749736507
2020-01-01 02:14:30,Argentina,3907.2031673193333
2020-01-01 02:15:00,Argentina,4546.359395968405
2020-01-01 02:15:30,Argentina,4988.947279759113
2020-01-01 02:16:00,Argentina,5341.991730001971
2020-01-01 02:16:30,Argentina,5627.066832111468
2020-01-01 02:17:00,Argentina,5869.8032589272125
2020-01-01 02:17:30,Argentina,6072.2038947254505
2020-01-01 02:18:00,Antarctica,-6477.503909020555
2020-01-01 02:18:30,Antarctica,-6341.25236987983
2020-01-01 02:19:00,Antarctica,-6154.4798056772515
2020-01-01 02:19:30,Antarctica,-5912.243882622242
2020-01-01 02:20:00,Antarctica,-5550.871251053298
2020-01-01 02:20:30,Antarctica,-5092.610794251051
2020-01-01 02:21:00,Antarctica,-4410.359422265097
2020-01-01 02:21:30,Antarctica,-3485.9933458379032
2020-01-01 02:22:00,Antarctica,-2295.87564091032
2020-01-01 02:22:30,Antarctica,-861.5141997972605
2020-01-01 02:23:00,Antarctica,725.5219758664264
2020-01-01 02:23:30,Antarctica,2173.610144707512
2020-01-01 02:24:00,Antarctica,3399.308327915768
2020-01-01 02:24:30,Antarctica,4324.765629200828
2020-01-01 02:25:00,Antarctica,5013.937195258511
2020-01-01 02:25:30,Antarctica,5511.478014768589
2020-01-01 02:26:00,Antarctica,5860.185901301674
2020-01-01 02:26:30,Antarctica,6114.197401657175
2020-01-01 02:27:00,Antarctica,6289.461344282391
2020-01-01 02:27:30,Antarctica,6424.693497035964
2020-01-01 02:28:00,Antarctica,6521.100498506065
2020-01-01 02:28:30,Antarctica,6605.496735607203
2020-01-01 02:29:00,Antarctica,6662.416997673914
2020-01-01 02:37:30,Australia,-5975.921521559228
2020-01-01 02:38:00,Australia,-5728.515587871784
2020-01-01 02:38:30,Australia,-5427.042274110858
2020-01-01 02:39:00,Australia,-5027.418930308283
2020-01-01 02:39:30,Australia,-4509.074517851307
2020-01-01 02:40:00,Australia,-3870.0708638765045
2020-01-01 02:40:30,Australia,-3056.390580810551
2020-01-01 02:41:00,Australia,-2068.32097958279
2020-01-01 02:41:30,Australia,-979.7015172519114
2020-01-01 02:42:00,Australia,218.04745495784758
2020-01-01 02:42:30,Australia,1404.9722586513503
2020-01-01 02:43:00,Australia,2461.1522038029334
2020-01-01 02:43:30,Australia,3381.4458111899403
2020-01-01 02:44:00,Australia,4125.223724455611
2020-01-01 02:44:30,Australia,4715.658583856552
2020-01-01 02:45:00,Australia,5171.873355995983
2020-01-01 02:45:30,Australia,5528.100645135013
2020-01-01 02:46:00,Australia,5806.963104355339
2020-01-01 02:46:30,Australia,6023.877456833558
2020-01-01 02:47:00,Australia,6178.727828512233
2020-01-01 03:08:30,Svalbard,-6974.336559014547
2020-01-01 03:09:00,Svalbard,-6928.414083828248
2020-01-01 03:09:30,Svalbard,-6877.146357407656
2020-01-01 03:10:00,Svalbard,-6811.6182665116785
2020-01-01 03:10:30,Svalbard,-6688.765120574028
2020-01-01 03:11:00,Svalbard,-6548.292471490446
2020-01-01 03:11:30,Svalbard,-6305.029242655636
2020-01-01 03:12:00,Svalbard,-5952.2047677714345
2020-01-01 03:12:30,Svalbard,-5389.810957647352
2020-01-01 03:13:00,Svalbard,-4494.565894009351
2020-01-01 03:13:30,Svalbard,-3124.630121983269
2020-01-01 03:14:00,Svalbard,-1212.543981413995
2020-01-01 03:14:30,Svalbard,995.074927256466
2020-01-01 03:15:00,Svalbard,2957.3589102394294
2020-01-01 03:15:30,Svalbard,4381.274093014695
2020-01-01 03:16:00,Svalbard,5320.078411633845
2020-01-01 03:16:30,Svalbard,5907.645093965465
2020-01-01 03:17:00,Svalbard,6294.543952937923
2020-01-01 03:17:30,Svalbard,6518.945995899085
2020-01-01 03:18:00,Svalbard,6675.836561457046
2020-01-01 03:18:30,Svalbard,6822.120113051433
2020-01-01 03:19:00,Svalbard,6897.233075908727
2020-01-01 03:19:30,Svalbard,6918.752264155867
2020-01-01 03:20:00,Svalbard,6947.150268611837
2020-01-01 03:20:30,Svalbard,6985.136459563417
2020-01-01 03:54:30,Antarctica,-4765.598591606757
2020-01-01 03:55:00,Antarctica,-4396.0651437855195
2020-01-01 03:55:30,Antarctica,-3924.950077342868
2020-01-01 03:56:00,Antarctica,-3374.090939335235
2020-01-01 03:56:30,Antarctica,-2731.886102897669
2020-01-01 03:57:00,Antarctica,-1998.6670410672562
2020-01-01 03:57:30,Antarctica,-1169.0822737886583
2020-01-01 03:58:00,Antarctica,-309.64932361071334
2020-01-01 03:58:30,Antarctica,566.5072435024219
2020-01-01 03:59:00,Antarctica,1422.6731238120083
2020-01-01 03:59:30,Antarctica,2215.3774927513887
2020-01-01 04:00:00,Antarctica,2922.4683870970284
2020-01-01 04:00:30,Antarctica,3537.5592709845077
2020-01-01 04:01:00,Antarctica,4053.1482141331808
2020-01-01 04:01:30,Antarctica,4461.519753389083
2020-01-01 04:02:00,Antarctica,4840.964819633842
2020-01-01 04:02:30,Antarctica,5135.721793398426
2020-01-01 04:03:00,Antarctica,5365.406097083538
2020-01-01 04:03:30,Antarctica,5558.908955976769
2020-01-01 04:43:00,Svalbard,-7011.86281322578
2020-01-01 04:43:30,Svalbard,-6997.319269298113
2020-01-01 04:44:00,Svalbard,-6946.693544749998
2020-01-01 04:44:30,Svalbard,-6858.431677789375
2020-01-01 04:45:00,Svalbard,-6762.7650058582885
2020-01-01 04:45:30,Svalbard,-6565.031075787612
2020-01-01 04:46:00,Svalbard,-6262.253841229772
2020-01-01 04:46:30,Svalbard,-5786.512880434699
2020-01-01 04:47:00,Svalbard,-4928.598604906131
2020-01-01 04:47:30,Svalbard,-3438.493592585771
2020-01-01 04:48:00,Svalbard,-1168.1511815781469
2020-01-01 04:48:30,Svalbard,1519.7017078404995
2020-01-01 04:49:00,Svalbard,3677.8027930483427
2020-01-01 04:49:30,Svalbard,5070.931139721913
2020-01-01 04:50:00,Svalbard,5860.70746497485
2020-01-01 04:50:30,Svalbard,6320.696038468144
2020-01-01 04:51:00,Svalbard,6581.204568200313
2020-01-01 04:51:30,Svalbard,6770.2545175662335
2020-01-01 04:52:00,Svalbard,6900.319844755194
2020-01-01 04:52:30,Svalbard,6958.780292059713
2020-01-01 04:53:00,Svalbard,7007.430554454137
2020-01-01 04:53:30,Svalbard,7041.475763258798
2020-01-01 04:54:00,Svalbard,7042.510702775393
2020-01-01 04:54:30,Svalbard,7044.3287227026
2020-01-01 05:32:30,Antarctica,-2146.741666017258
2020-01-01 05:33:00,Antarctica,-1613.7246971756315
2020-01-01 05:33:30,Antarctica,-1048.957978641533
2020-01-01 05:34:00,Antarctica,-461.79784268129606
2020-01-01 05:34:30,Antarctica,178.82595694689323
2020-01-01 05:35:00,Antarctica,774.4672785068028
2020-01-01 05:35:30,Antarctica,1370.0795368596337
2020-01-01 05:36:00,Antarctica,1915.8148730286914
2020-01-01 05:36:30,Antarctica,2423.9481754121985
2020-01-01 05:37:00,Antarctica,2897.8050754768597
2020-01-01 05:37:30,Antarctica,3327.2330940733464
2020-01-01 06:17:00,Svalbard,-7029.630926220435
2020-01-01 06:17:30,Svalbard,-6990.880204656427
2020-01-01 06:18:00,Svalbard,-6958.911941047701
2020-01-01 06:18:30,Svalbard,-6913.9940311039145
2020-01-01 06:19:00,Svalbard,-6844.373339166583
2020-01-01 06:19:30,Svalbard,-6693.418054784838
2020-01-01 06:20:00,Svalbard,-6473.35689672459
2020-01-01 06:20:30,Svalbard,-6090.59098282033
2020-01-01 06:21:00,Svalbard,-5472.869434375126
2020-01-01 06:21:30,Svalbard,-4352.536433207949
