datetime_utc,ground_station,range_rate
2020-01-01 01:03:00,Australia,-6287.882462292888
2020-01-01 01:03:30,Australia,-6143.356293947407
2020-01-01 01:04:00,Australia,-5950.595426096126
2020-01-01 01:04:30,Australia,-5693.215637549074
2020-01-01 01:05:00,Australia,-5348.756909792049
2020-01-01 01:05:30,Australia,-4887.454993323343
2020-01-01 01:06:00,Australia,-4272.7921487603235
2020-01-01 01:06:30,Australia,-3467.139021759087
2020-01-01 01:07:00,Australia,-2447.2448103704273
2020-01-01 01:07:30,Australia,-1230.2880671563953
2020-01-01 01:08:00,Australia,104.72804366533006
2020-01-01 01:08:30,Australia,1430.135646306621
2020-01-01 01:09:00,Australia,2622.7015868827275
2020-01-01 01:09:30,Australia,3612.70478760038
2020-01-01 01:10:00,Australia,4390.52745838209
2020-01-01 01:10:30,Australia,4982.836925408914
2020-01-01 01:11:00,Australia,5427.669824068387
2020-01-01 01:11:30,Australia,5760.649479266594
2020-01-01 01:12:00,Australia,6010.375114669674
2020-01-01 01:12:30,Australia,6198.281885056545
2020-01-01 01:13:00,Australia,6339.964780698855
2020-01-01 01:13:30,Australia,6446.660516450322
2020-01-01 01:14:00,Australia,6526.474226015631
2020-01-01 01:35:30,Svalbard,-6889.78629219267
2020-01-01 01:36:00,Svalbard,-6825.523059545853
2020-01-01 01:36:30,Svalbard,-6730.317173913112
2020-01-01 01:37:00,Svalbard,-6590.117777179711
2020-01-01 01:37:30,Svalbard,-6382.044432957549
2020-01-01 01:38:00,Svalbard,-6067.909809907073
2020-01-01 01:38:30,Svalbard,-5583.413176339136
2020-01-01 01:39:00,Svalbard,-4823.935398056803
2020-01-01 01:39:30,Svalbard,-3643.3026328863493
2020-01-01 01:40:00,Svalbard,-1926.9349408479352
2020-01-01 01:40:30,Svalbard,199.68572722508446
2020-01-01 01:41:00,Svalbard,2278.79070057748
2020-01-01 01:41:30,Svalbard,3897.3668496822675
2020-01-01 01:42:00,Svalbard,4990.806233339696
2020-01-01 01:42:30,Svalbard,5691.205117707408
2020-01-01 01:43:00,Svalbard,6139.133769880131
2020-01-01 01:43:30,Svalbard,6430.943678728517
2020-01-01 01:44:00,Svalbard,6625.167953178123
2020-01-01 01:44:30,Svalbard,6756.553436374674
2020-01-01 01:45:00,Svalbard,6845.997165249243
2020-01-01 01:45:30,Svalbard,6906.3979477006105
2020-01-01 01:46:00,Svalbard,6945.956961230233
2020-01-01 01:46:30,Svalbard,6970.044057519382
2020-01-01 02:08:00,Argentina,-5888.5300184908565
2020-01-01 02:08:30,Argentina,-5655.1544931390445
2020-01-01 02:09:00,Argentina,-5354.949945028804
2020-01-01 02:09:30,Argentina,-4969.066295726796
2020-01-01 02:10:00,Argentina,-4474.99631004713
2020-01-01 02:10:30,Argentina,-3848.802651941799
2020-01-01 02:11:00,Argentina,-3070.9532727665487
2020-01-01 02:11:30,Argentina,-2136.8816534262614
2020-01-01 02:12:00,Argentina,-1069.883665618084
2020-01-01 02:12:30,Argentina,72.34517438138298
2020-01-01 02:13:00,Argentina,1208.071960267841
2020-01-01 02:13:30,Argentina,2257.641084779644
2020-01-01 02:14:00,Argentina,3168.140283825657
2020-01-01 02:14:30,Argentina,3921.01171241469
2020-01-01 02:15:00,Argentina,4523.871348397126
2020-01-01 02:15:30,Argentina,4997.540879701955
2020-01-01 02:16:00,Argentina,5366.119459427005
2020-01-01 02:16:30,Argentina,5651.758490334751
2020-01-01 02:17:00,Argentina,5872.804762132064
2020-01-01 02:17:30,Argentina,6043.6781620247
2020-01-01 02:18:00,Antarctica,-6465.808029262344
2020-01-01 02:18:30,Antarctica,-6333.406043216804
2020-01-01 02:19:00,Antarctica,-6152.359844161459
2020-01-01 02:19:30,Antarctica,-5903.589440286503
2020-01-01 02:20:00,Antarctica,-5559.272275651011
