datetime_utc,ground_station,range
2020-01-01 01:02:30,Australia,2642946.1042037127
2020-01-01 01:03:00,Australia,2452684.0402284353
2020-01-01 01:03:30,Australia,2265854.922044361
2020-01-01 01:04:00,Australia,2084518.6284344145
2020-01-01 01:04:30,Australia,1909562.5412248105
2020-01-01 01:05:00,Australia,1743689.226770921
2020-01-01 01:05:30,Australia,1589739.0079933435
2020-01-01 01:06:00,Australia,1451827.2763311097
2020-01-01 01:06:30,Australia,1335244.6817773825
2020-01-01 01:07:00,Australia,1245967.9474358505
2020-01-01 01:07:30,Australia,1190652.2280377476
2020-01-01 01:08:00,Australia,1173491.830620415
2020-01-01 01:08:30,Australia,1196533.4910489393
2020-01-01 01:09:00,Australia,1257829.818358555
2020-01-01 01:09:30,Australia,1351932.3397913084
2020-01-01 01:10:00,Australia,1472356.47094584
2020-01-01 01:10:30,Australia,1613530.242636141
2020-01-01 01:11:00,Australia,1770204.6548354353
2020-01-01 01:11:30,Australia,1938129.299744477
2020-01-01 01:12:00,Australia,2115056.187470905
2020-01-01 01:12:30,Australia,2298198.2460064176
2020-01-01 01:13:00,Australia,2486190.2255351637
2020-01-01 01:35:00,Svalbard,2515475.413807511
2020-01-01 01:35:30,Svalbard,2308124.8730318677
2020-01-01 01:36:00,Svalbard,2102255.5464150496
2020-01-01 01:36:30,Svalbard,1898847.5255348277
2020-01-01 01:37:00,Svalbard,1699035.8936953854
2020-01-01 01:37:30,Svalbard,1504146.3712405048
2020-01-01 01:38:00,Svalbard,1317089.404363222
2020-01-01 01:38:30,Svalbard,1141685.5813742112
2020-01-01 01:39:00,Svalbard,984657.8153395696
2020-01-01 01:39:30,Svalbard,856451.564870314
2020-01-01 01:40:00,Svalbard,771740.0705898617
2020-01-01 01:40:30,Svalbard,745154.3945663966
2020-01-01 01:41:00,Svalbard,783066.914779575
2020-01-01 01:41:30,Svalbard,877091.2683522042
2020-01-01 01:42:00,Svalbard,1011561.3794625518
2020-01-01 01:42:30,Svalbard,1172746.948179491
2020-01-01 01:43:00,Svalbard,1350518.0705237633
2020-01-01 01:43:30,Svalbard,1539500.0541967067
2020-01-01 01:44:00,Svalbard,1735464.421103941
2020-01-01 01:44:30,Svalbard,1936322.9098713691
2020-01-01 01:45:00,Svalbard,2140288.3397819777
2020-01-01 01:45:30,Svalbard,2346889.9499152377
2020-01-01 01:46:00,Svalbard,2554651.3943615626
2020-01-01 02:07:30,Argentina,2560967.5677976925
2020-01-01 02:08:00,Argentina,2381386.8882229486
2020-01-01 02:08:30,Argentina,2208491.9335339703
2020-01-01 02:09:00,Argentina,2043040.059422362
2020-01-01 02:09:30,Argentina,1888094.4944366221
2020-01-01 02:10:00,Argentina,1745956.204020464
2020-01-01 02:10:30,Argentina,1620659.3646364193
2020-01-01 02:11:00,Argentina,1516795.8138293067
2020-01-01 02:11:30,Argentina,1437936.8890299876
2020-01-01 02:12:00,Argentina,1389607.6983982523
2020-01-01 02:12:30,Argentina,1374603.5514186816
2020-01-01 02:13:00,Argentina,1393882.2723900029
2020-01-01 02:13:30,Argentina,1446215.5315580438
2020-01-01 02:14:00,Argentina,1527836.5169096217
2020-01-01 02:14:30,Argentina,1634688.6989033427
2020-01-01 02:15:00,Argentina,1761656.6345458098
2020-01-01 02:15:30,Argentina,1905108.5293299428
2020-01-01 02:16:00,Argentina,2060504.1542054464
