datetime_utc,ground_station,range
2020-01-01 01:03:00,Australia,2452542.1012922158
2020-01-01 01:03:30,Australia,2265965.6000337843
2020-01-01 01:04:00,Australia,2084414.021798905
2020-01-01 01:04:30,Australia,1909566.9684126258
2020-01-01 01:05:00,Australia,1743682.9189336603
2020-01-01 01:05:30,Australia,1589801.8512138706
2020-01-01 01:06:00,Australia,1451963.7035748083
2020-01-01 01:06:30,Australia,1335344.8620852537
2020-01-01 01:07:00,Australia,1246088.8721707158
2020-01-01 01:07:30,Australia,1190501.673272693
2020-01-01 01:08:00,Australia,1173470.0304685077
2020-01-01 01:08:30,Australia,1196687.4577578192
2020-01-01 01:09:00,Australia,1257929.2817537168
2020-01-01 01:09:30,Australia,1352001.1839874773
2020-01-01 01:10:00,Australia,1472555.1701437603
2020-01-01 01:10:30,Australia,1613570.603797872
2020-01-01 01:11:00,Australia,1770046.8561751957
2020-01-01 01:11:30,Australia,1938108.8995539981
2020-01-01 01:12:00,Australia,2114849.104925684
2020-01-01 01:12:30,Australia,2298107.9574790397
2020-01-01 01:13:00,Australia,2486277.54837157
2020-01-01 01:13:30,Australia,2678148.9728786154
2020-01-01 01:14:00,Australia,2872800.7815723745
2020-01-01 01:35:30,Svalbard,2308072.8673448707
2020-01-01 01:36:00,Svalbard,2102274.053427789
2020-01-01 01:36:30,Svalbard,1898839.9382579091
2020-01-01 01:37:00,Svalbard,1698893.0762990478
2020-01-01 01:37:30,Svalbard,1504098.022362155
2020-01-01 01:38:00,Svalbard,1317014.4089134405
2020-01-01 01:38:30,Svalbard,1141706.0710813112
2020-01-01 01:39:00,Svalbard,984736.8820179678
2020-01-01 01:39:30,Svalbard,856480.1696584397
2020-01-01 01:40:00,Svalbard,771574.3952819483
2020-01-01 01:40:30,Svalbard,745105.5433787258
2020-01-01 01:41:00,Svalbard,783059.7920271471
2020-01-01 01:41:30,Svalbard,877084.2382830773
2020-01-01 01:42:00,Svalbard,1011584.7526085066
2020-01-01 01:42:30,Svalbard,1172601.0113178333
2020-01-01 01:43:00,Svalbard,1350542.5675128284
2020-01-01 01:43:30,Svalbard,1539393.0421554376
2020-01-01 01:44:00,Svalbard,1735422.8105724403
2020-01-01 01:44:30,Svalbard,1936270.4246603167
2020-01-01 01:45:00,Svalbard,2140390.0494537107
2020-01-01 01:45:30,Svalbard,2346731.9700228865
2020-01-01 01:46:00,Svalbard,2554556.886083383
2020-01-01 01:46:30,Svalbard,2763325.5884322873
2020-01-01 02:08:00,Argentina,2381704.02425055
2020-01-01 02:08:30,Argentina,2208398.7037787945
2020-01-01 02:09:00,Argentina,2043055.32024681
2020-01-01 02:09:30,Argentina,1887951.4900078834
2020-01-01 02:10:00,Argentina,1745987.6660504849
2020-01-01 02:10:30,Argentina,1620770.2196532541
2020-01-01 02:11:00,Argentina,1516577.9549995551
2020-01-01 02:11:30,Argentina,1438082.8540247853
2020-01-01 02:12:00,Argentina,1389705.5746009038
2020-01-01 02:12:30,Argentina,1374650.6082469795
2020-01-01 02:13:00,Argentina,1393980.412214252
2020-01-01 02:13:30,Argentina,1446263.2538220605
2020-01-01 02:14:00,Argentina,1528034.9736425143
2020-01-01 02:14:30,Argentina,1634764.4921312036
2020-01-01 02:15:00,Argentina,1761788.2522659965
2020-01-01 02:15:30,Argentina,1904899.906141233
2020-01-01 02:16:00,Argentina,2060585.6026589053
2020-01-01 02:16:30,Argentina,2226033.270437738
2020-01-01 02:17:00,Argentina,2399040.143969529
2020-01-01 02:17:30,Argentina,2577894.071279757
2020-01-01 02:18:00,Antarctica,2308575.347258445
2020-01-01 02:18:30,Antarctica,2116479.980800793
2020-01-01 02:19:00,Antarctica,1929047.4408982773
2020-01-01 02:19:30,Antarctica,1748005.1891290592
2020-01-01 02:20:00,Antarctica,1575776.6194833757
2020-01-01 02:20:30,Antarctica,1415789.7303564812
2020-01-01 02:21:00,Antarctica,1272859.5569495617
2020-01-01 02:21:30,Antarctica,1153509.4408536982
2020-01-01 02:22:00,Antarctica,1065820.4378500818
2020-01-01 02:22:30,Antarctica,1018090.9162171447
2020-01-01 02:23:00,Antarctica,1016000.5128428702
2020-01-01 02:23:30,Antarctica,1059800.762973965
2020-01-01 02:24:00,Antarctica,1144171.0771756982
2020-01-01 02:24:30,Antarctica,1260896.1994865437
2020-01-01 02:25:00,Antarctica,1401792.5906516952
2020-01-01 02:25:30,Antarctica,1560180.6892832024
2020-01-01 02:26:00,Antarctica,1731105.833363184
2020-01-01 02:26:30,Antarctica,1911035.282309063
2020-01-01 02:27:00,Antarctica,2097472.4554857863
2020-01-01 02:27:30,Antarctica,2288640.106648443
2020-01-01 02:28:00,Antarctica,2483253.302397634
2020-01-01 02:28:30,Antarctica,2680364.85583336
2020-01-01 02:29:00,Antarctica,2879261.7351623694
2020-01-01 02:37:30,Australia,2362319.9808029057
2020-01-01 02:38:00,Australia,2186711.576512787
2020-01-01 02:38:30,Australia,2019173.599679444
2020-01-01 02:39:00,Australia,1862086.4236329056
2020-01-01 02:39:30,Australia,1718504.498069247
2020-01-01 02:40:00,Australia,1592252.4045280737
2020-01-01 02:40:30,Australia,1487890.0498848627
2020-01-01 02:41:00,Australia,1410395.7684167216
2020-01-01 02:41:30,Australia,1364429.290460184
