,x,y,z,vx,vy,vz
2020-01-01 00:00:00,8056981.53326603,14684.45874527779,31007.940465343803,-41.52220707485114,3885.7342188575008,6677.38103214399
2020-01-01 00:08:20,7154729.887458856,1852805.9413255206,3170712.062802489,-2908.078162191628,3434.859915951935,6098.294913861534
2020-01-01 00:16:40,5006926.164934528,3606464.9522716776,5901556.749410913,-5315.241457277351,2799.2733332890543,4452.587151171492
2020-01-01 00:25:00,2352365.9040119313,4434279.5404186975,7593866.854431736,-6313.109417804903,1530.1048690080731,2432.3646167475663
2020-01-01 00:33:20,-1007620.3351908304,5033058.570641795,8323169.743027099,-6278.175584128985,296.6589834835283,754.7826850189851
2020-01-01 00:41:40,-4067582.083273784,4962325.909939712,8267136.867832094,-5918.025799012835,-525.7226894049627,-1004.1322382685537
2020-01-01 00:50:00,-6908941.461027505,4381690.816257612,7569040.549304653,-5101.186402043859,-1353.391860950463,-2258.4282645032113
2020-01-01 00:58:20,-8900901.744254362,3333954.706042355,5922577.455186266,-3865.802334452507,-1957.3040143302112,-3284.6116872344046
2020-01-01 01:06:40,-10729516.145643048,2449152.580816746,4063724.533447904,-2690.3747866688495,-2389.261653896828,-3898.051694408837
2020-01-01 01:15:00,-11708930.749381876,1477098.0217248893,2010124.915009379,-1299.5665947985751,-2455.6054593402423,-4262.7734917728685
2020-01-01 01:23:20,-12073805.410828145,-228672.56014267486,-72782.99423971359,71.7873592587252,-2567.253308550864,-4433.738987961987
2020-01-01 01:31:40,-11517082.328396404,-1445309.9215892463,-2439106.960538602,1461.3006334520173,-2516.0466624606784,-4368.85257973079
2020-01-01 01:40:00,-10467590.194451917,-2608557.4536423045,-4459756.167053162,2907.5176976561665,-2242.4128829379238,-3912.1125903276284
2020-01-01 01:48:20,-8869487.07867351,-3508511.583352251,-6282518.354538346,4138.495195585705,-1696.2325183379435,-3211.1941730585063
2020-01-01 01:56:40,-6532619.352103454,-4101071.1291017113,-7719091.070604928,5268.872248715485,-1257.6290134632768,-2265.28245433333
2020-01-01 02:05:00,-3706500.1968487995,-4769382.409924115,-8363096.272872586,5737.178908778691,-481.57974904743793,-954.340504023505
2020-01-01 02:13:20,-632986.4821418696,-5049762.952688549,-8386322.846001952,6528.516820700264,562.9703947748073,664.5300328293052
2020-01-01 02:21:40,2787554.651322697,-4219518.292847035,-7385753.64304644,6229.740089814797,1492.1066166587823,2848.933959321009
2020-01-01 02:30:00,5307666.596405307,-3143929.719779558,-5741308.668581093,4766.119029174151,2638.3195784479667,4667.6863052518265
2020-01-01 02:38:20,7327372.023342745,-1768721.9053856938,-3058312.399391472,2596.747746777877,3467.515704848658,6077.323966018042
