,x,y,z,vx,vy,vz
2020-01-01 00:00:00,8000000.0,0.0,0.0,0.0,3866.201825597055,6696.457994249645
2020-01-01 00:08:20,7241086.093829189,1872046.6536774195,3242479.9183085877,-2959.5612740123916,3506.2665319011708,6073.031778131148
2020-01-01 00:16:40,5174430.154926464,3412713.358678054,5910992.928899418,-5134.875677191701,2590.7694924261323,4487.344391581491
2020-01-01 00:25:00,2287310.511157722,4425895.667480196,7665876.165074666,-6238.751245680057,1450.416320762336,2512.1947596874834
2020-01-01 00:33:20,-909240.4140619087,4869749.320669823,8434653.243524157,-6415.772546040402,344.89161285186333,597.3697965638023
2020-01-01 00:41:40,-4020484.551285711,4797940.612671627,8310276.912845403,-5943.1096922115685,-600.6557707527849,-1040.3663128032672
2020-01-01 00:50:00,-6784357.817960394,4301904.330030261,7451116.86891296,-5059.847687902822,-1350.552870698716,-2339.226190358176
2020-01-01 00:58:20,-9039676.022739094,3479412.4157347833,6026519.084538608,-3930.6296867102756,-1908.6229227442045,-3305.8318746835694
2020-01-01 01:06:40,-10691604.76009519,2422693.048371946,4196227.450924133,-2659.8410240452126,-2290.1740941113485,-3966.697889178882
2020-01-01 01:15:00,-11686954.046556782,1216183.0092446306,2106490.7633137093,-1312.963903562038,-2509.8764054912017,-4347.233455029106
2020-01-01 01:23:20,-11999203.269410718,-61839.74839405591,-107109.58614578069,66.41336748590173,-2577.2967525001236,-4464.008921512483
2020-01-01 01:31:40,-11620799.742454793,-1336282.5134452784,-2314509.206553063,1444.221344260362,-2495.5018173965145,-4322.335938111233
2020-01-01 01:40:00,-10560941.720583836,-2531889.8960310454,-4385361.939096052,2785.928940189059,-2260.778432619867,-3915.7831099535406
2020-01-01 01:48:20,-8848277.111650502,-3569910.943495724,-6183267.132630739,4046.4422459848197,-1862.9814528420625,-3226.7785298809335
2020-01-01 01:56:40,-6539207.289768812,-4365196.825267141,-7560742.686401049,5157.369891495852,-1287.1101273787535,-2229.34013555645
2020-01-01 02:05:00,-3733690.596102372,-4824793.887833624,-8356788.149775609,6009.503259975951,-518.2539788241148,-897.6422225480917
2020-01-01 02:13:20,-600975.6931476193,-4850799.463729736,-8401831.128507765,6431.341989471389,445.1688676669877,771.0550967471285
2020-01-01 02:21:40,2585239.8794652103,-4353635.0397642255,-7540717.086483786,6177.151691816366,1561.3833692604403,2704.395325652159
2020-01-01 02:30:00,5416971.096938228,-3285916.849118965,-5691374.932120683,4972.253832915437,2693.608973721582,4665.46759820924
2020-01-01 02:38:20,7376908.488789431,-1702251.7223632033,-2948386.4704046976,2700.126320523123,3569.6958915900964,6182.894651803928
