datetime_utc,x,y,z,vx,vy,vz
2020-01-01 01:00:00,-1026691.5514312963,-3315661.307145312,-5972200.883695335,-3740.137401584183,-5489.114264508801,3679.6800752680274
2020-01-01 01:01:00,-1248752.9438109621,-3638724.424135036,-5739333.6072232565,-3657.400807537956,-5239.853591882193,4102.838826703735
2020-01-01 01:02:00,-1466929.798338727,-3941759.415993355,-5480551.098003469,-3558.612645486648,-4966.064575651161,4510.639036445102
2020-01-01 01:03:00,-1674696.9552120296,-4233153.520493237,-5199021.125024835,-3445.6352906032407,-4671.458873337412,4895.946229036793
2020-01-01 01:04:00,-1879188.3934982233,-4502735.701927575,-4894503.1186562665,-3316.152174952486,-4353.005560985389,5261.079330265638
2020-01-01 01:05:00,-2074373.0882266504,-4754970.984351145,-4568335.129855735,-3172.9934640302763,-4019.804824495409,5603.538314613721
2020-01-01 01:06:00,-2260109.1515928297,-4985671.475043463,-4223441.03049803,-3015.1427644007686,-3664.5988903112884,5925.934956150648
2020-01-01 01:07:00,-2434214.830336317,-5192420.289496976,-3855265.8169560786,-2848.6154726958925,-3298.7299166324246,6218.080647985354
2020-01-01 01:08:00,-2600268.69377569,-5379068.516566589,-3476455.719050819,-2664.493177039189,-2916.9059511442156,6481.841461065054
2020-01-01 01:09:00,-2754017.625870102,-5543557.355043746,-3078477.443766432,-2469.4264057714663,-2522.1449086832336,6721.914337273391
2020-01-01 01:10:00,-2896734.5630936697,-5683337.961751547,-2668619.986267903,-2265.204400696758,-2115.288597642783,6931.90306322221
2020-01-01 01:11:00,-3027174.4071214213,-5795999.059477137,-2248912.9567637425,-2052.6120988526022,-1699.740410020515,7107.316442648357
2020-01-01 01:12:00,-3144820.9611440115,-5887657.592657688,-1819669.7262307864,-1827.124107211097,-1274.4993697935693,7256.095700283427
2020-01-01 01:13:00,-3245385.7979148244,-5950564.289971134,-1377069.6020618286,-1597.1783449364214,-847.0345840128432,7372.834463623282
2020-01-01 01:14:00,-3333312.6677691843,-5988503.256901624,-933377.7493806873,-1357.5883325158675,-414.51610805524484,7456.659974488942
2020-01-01 01:15:00,-3409731.4811741235,-5998693.395799547,-485352.6695402125,-1114.3124319637773,21.462114095024923,7505.961902703593
2020-01-01 01:16:00,-3467855.915286609,-5984530.307680188,-34404.906392618774,-867.2419594835801,451.30408815364837,7524.3641251148865
2020-01-01 01:17:00,-3512667.2579147457,-5945790.031824925,418221.9264396368,-612.8285791854005,883.863258467922,7513.499781679305
2020-01-01 01:18:00,-3541803.917515684,-5879516.475164127,866977.8855116474,-356.77354899163527,1310.2613049111535,7467.629032425921
2020-01-01 01:19:00,-3554062.632640237,-5788560.093367056,1313634.0699152043,-100.86954574219949,1734.817382661011,7388.307029396722
2020-01-01 01:20:00,-3553905.6380824707,-5673402.647774554,1755020.4093200148,155.38693650260223,2147.540373204533,7277.113216990539
2020-01-01 01:21:00,-3537298.377998094,-5529708.011891338,2185508.037073363,411.9909994577609,2554.9931219421296,7131.444289936243
2020-01-01 01:22:00,-3504055.4210397024,-5365915.817909444,2608209.5920501864,665.1910745827305,2948.5767950107643,6959.136837890984
2020-01-01 01:23:00,-3458806.303663645,-5177001.96717131,3021527.1699775835,917.800298711777,3328.446189585294,6756.87156677008
2020-01-01 01:24:00,-3394635.071487263,-4966275.616805,3418872.456814724,1164.990694390302,3694.9072492143314,6522.530189662796
2020-01-01 01:25:00,-3316673.84970544,-4733925.23546505,3803586.768473277,1408.6570486078394,4043.4003741752367,6259.779463697639
2020-01-01 01:26:00,-3226663.1965822056,-4480710.126723192,4169659.0132141355,1643.8422655739225,4375.213779263269,5972.9228641457785
2020-01-01 01:27:00,-3121089.90277712,-4209968.083467088,4520626.531358921,1872.2751691142946,4689.759384404904,5659.208881100542
2020-01-01 01:28:00,-3001681.729848015,-3917376.646201483,4847645.501683993,2093.6536076628763,4983.780161995905,5320.789856107194
2020-01-01 01:29:00,-2870442.753491882,-3609611.6308142273,5155840.679184727,2303.8203610475803,5255.888411382654,4957.747963863262
2020-01-01 01:30:00,-2723200.628207164,-3288839.408605555,5442268.026002355,2505.77820485288,5503.3839513442745,4574.811606445761
2020-01-01 01:31:00,-2567566.4890610636,-2951532.4340349836,5706060.098783094,2695.65305773704,5729.326968399788,4170.504813557446
2020-01-01 01:32:00,-2402263.1895120195,-2602164.2753178645,5944094.977243073,2876.6242419720465,5928.215568340704,3752.8694749370225
2020-01-01 01:33:00,-2222639.567927394,-2239585.781738054,6153744.628732917,3041.3969234634937,6102.315154213794,3315.4395616917127
