datetime_utc,x,y,z,vx,vy,vz
2020-01-01 01:00:00,-2578631.6198439496,2316935.873924163,-5975506.021834915,-3233.407433055065,5897.717841286807,3670.1853901246627
2020-01-01 01:01:00,-2765397.714739332,2666372.779553035,-5742468.12994343,-2990.10704321483,5745.629499641256,4094.938361086007
2020-01-01 01:02:00,-2937214.7273618765,3005871.199708144,-5484468.26755142,-2735.3243788857962,5566.538105974708,4501.946248776936
2020-01-01 01:03:00,-3093433.463364479,3333830.5330255623,-5202624.859026026,-2470.3867074165814,5361.112546337754,4889.438652866954
2020-01-01 01:04:00,-3233485.257420818,3648693.755897987,-4898159.625209054,-2196.6608707976106,5130.1489654790585,5255.727023682973
2020-01-01 01:05:00,-3356884.591959214,3948955.5225186404,-4572393.135782385,-1915.5454533787513,4874.567276128099,5599.213041531727
2020-01-01 01:06:00,-3463230.991131133,4233169.735075491,-4226739.537869838,-1628.4631664842098,4595.407150624761,5918.396003077615
2020-01-01 01:07:00,-3552209.9175716373,4499956.208139846,-3862699.996231209,-1336.8539664899315,4293.8241427743305,6211.879337818975
2020-01-01 01:08:00,-3623593.137061471,4748006.922535521,-3481855.539123799,-1042.1684894639136,3971.0855879470464,6478.376555404977
2020-01-01 01:09:00,-3677238.9983340646,4976092.379716587,-3085860.0039056744,-745.8613981989331,3628.5659149774956,6716.71692453571
2020-01-01 01:10:00,-3713093.0570942177,5183068.583069199,-2676433.7764558624,-449.3842504750807,3267.7409892129467,6925.851184187444
2020-01-01 01:11:00,-3731189.3568821135,5367885.059178609,-2255358.8983261366,-154.1775451785087,2890.1811371956396,7104.857588975884
2020-01-01 01:12:00,-3731647.517516872,5529587.792884649,-1824468.4330677115,138.33614009462093,2497.545246245709,7252.94796798613
2020-01-01 01:13:00,-3714670.7787611694,5667323.590537267,-1385636.6155453627,426.75942504133474,2091.572992549138,7369.47147311654
2020-01-01 01:14:00,-3680545.2786196508,5780345.639717229,-940773.5185936047,709.7280518406629,1674.0750674075132,7453.917392633215
2020-01-01 01:15:00,-3629638.2718420476,5868018.334223877,-491815.5573008863,985.9171260253386,1246.9250904051403,7505.917354490735
2020-01-01 01:16:00,-3562395.741624489,5929821.088489439,-40716.8481698783,1254.0474360002368,812.05096839971,7525.2474451981925
2020-01-01 01:17:00,-3479338.8440402965,5965350.330006717,410559.41177094064,1512.8917045928756,371.42582917371635,7511.830005768931
2020-01-01 01:18:00,-3381059.881874861,5974320.715136749,860049.6257391921,1761.2808237728048,-72.94162592747762,7465.734687709845
2020-01-01 01:19:00,-3268218.467288229,5956566.6369982725,1305798.617688613,1998.1101182260202,-519.0175080232831,7387.178352006455
2020-01-01 01:20:00,-3141538.4950342877,5912045.116733612,1745868.6723519813,2222.345677980164,-964.7540249131249,7276.523394059823
2020-01-01 01:21:00,-3001806.3168826206,5840840.843313061,2178348.8051547525,2433.0306860183878,-1408.1017063703384,7134.274119067283
2020-01-01 01:22:00,-2849862.5364045305,5743159.933974548,2601362.0832594964,2629.2872473129446,-1847.0174430681127,6961.073018011477
2020-01-01 01:23:00,-2686596.3749433937,5619327.898596162,3013073.931061697,2810.3190758051883,-2279.4732358097767,6757.6975173505625
2020-01-01 01:24:00,-2512942.90400288,5469792.138942868,3411700.174112979,2975.415703944635,-2703.4671041074776,6525.055759060033
2020-01-01 01:25:00,-2329877.381590788,5295119.654010174,3795515.3187782476,3123.954921021752,-3117.032147989391,6264.181873764547
2020-01-01 01:26:00,-2138409.9087132555,5095994.747098097,4162860.0183029682,3255.4050955726643,-3518.245847230677,5976.230747256071
2020-01-01 01:27:00,-1939579.6644152724,4873215.375336758,4512147.562978831,3369.3268101084045,-3905.2389869063063,5662.472387430385
2020-01-01 01:28:00,-1734449.0595146357,4627688.920070767,4841869.985141008,3465.3738615985585,-4276.204202134389,5324.2857377541395
2020-01-01 01:29:00,-1524098.121674424,4360428.167646766,5150604.369731277,3543.293681061904,-4629.404136534251,4963.151783374371
2020-01-01 01:30:00,-1309619.3967349404,4072548.3007468292,5437019.96116016,3602.9272255023297,-4963.179210578022,4580.645795982647
2020-01-01 01:31:00,-1092113.337938061,3765264.856372269,5699885.886431218,3644.2083541789193,-5275.9549393691495,4178.428939370817
2020-01-01 01:32:00,-872680.7881533904,3439882.771541544,5938071.353530544,3667.1622525335365,-5566.248006945877,3758.2433261573856
2020-01-01 01:33:00,-652418.1612816486,3097792.492891833,6150551.873969059,3671.904286228996,-5832.672896212848,3321.9038226637645
2020-01-01 01:34:00,-432412.45702614984,2740464.8758532857,6336413.821641693,3658.6383924826832,-6073.94798052247,2871.2897801153495
2020-01-01 01:35:00,-213735.88273050496,2369444.7607470034,6494858.806931248,3627.6547636093305,-6288.900506907716,2408.3365296042853
2020-01-01 01:36:00,2559.2588753080927,1986344.2362326356,6625206.638465005,3579.3273356852724,-6476.471264705433,1935.0275935690372
2020-01-01 01:37:00,215445.56042882125,1592835.2714444962,6726896.992201529,3514.111022323004,-6635.718922978315,1453.3874582693275
2020-01-01 01:38:00,423925.3127269702,1190642.1438832108,6799490.764460393,3432.5386413022466,-6765.824021953103,965.4743183871217
2020-01-01 01:39:00,627035.0680139298,781534.0921081919,6842672.085507897,3335.217482205479,-6866.0926016973835,473.3722048851635
2020-01-01 01:40:00,823849.927177019,367318.62395938986,6856251.970311456,3222.825463650476,-6935.959449268482,-20.818092745984032
2020-01-01 01:41:00,1013487.544411792,-50165.04646063014,6840171.894362221,3096.1069925993115,-6974.9909865215595,-514.9885953791868
2020-01-01 01:42:00,1195112.3083801533,-469057.6049646237,6794495.450682113,2955.8692768429682,-6982.887829773952,-1007.027851135378
2020-01-01 01:43:00,1367938.7194337088,-887485.498264343,6719413.195555668,2802.97778962445,-6959.486631731449,-1494.8311533591784
2020-01-01 01:44:00,1531234.749957432,-1303569.2365371394,6615241.656813154,2638.3519261776564,-6904.761890315513,-1976.3084995818786
2020-01-01 01:45:00,1684325.2835578788,-1715432.2712530356,6482422.912776269,2462.9602854840073,-6818.827218256472,-2449.3930214986144
2020-01-01 01:46:00,1826594.8188232486,-2121209.2436100408,6321522.655110962,2277.8157584540536,-6701.936026294015,-2912.0493514637847
2020-01-01 01:47:00,1957489.674582953,-2519053.997031137,6133227.084678247,2083.9704352489252,-6554.481590088267,-3362.281805897884
2020-01-01 01:48:00,2076519.9524191339,-2907147.6504199817,5918339.497642966,1882.5103136029882,-6376.9964599646555,-3798.142484066825
2020-01-01 01:49:00,2183261.501546522,-3283707.03766358,5677777.419100932,1674.5497913400218,-6170.1511716753585,-4217.739380695261
2020-01-01 01:50:00,2277358.120375064,-3646993.827444877,5412571.1414845735,1461.2259276445945,-5934.7522154394355,-4619.244610875146
2020-01-01 01:51:00,2358523.6104007876,-3995323.760237106,5123862.651716975,1243.6927088205307,-5671.739515522361,-5000.902614071549
2020-01-01 01:52:00,2426540.157741426,-4327071.280144123,4812892.779438795,1023.1166839473939,-5382.185331795888,-5361.037035206714
2020-01-01 01:53:00,2481260.1701550772,-4640679.004416638,4481000.481848137,800.6704668636294,-5067.289964500224,-5698.0593449984
2020-01-01 01:54:00,2522606.4266772135,-4934665.115522196,4129617.534938301,577.5266832268373,-4728.377551916598,-6010.476574188192
2020-01-01 01:55:00,2550572.266170677,-5207631.657804471,3760262.627517708,354.8517039800713,-4366.891336204326,-6296.898865582407
2020-01-01 01:56:00,2565220.9035804016,-5458271.264850807,3374534.847662751,133.79946176962966,-3984.387953345875,-6556.046690349751
2020-01-01 01:57:00,2566684.0639338773,-5685372.752898865,2974106.395785705,-84.4945872513594,-3582.5308786333817,-6786.757552013218
2020-01-01 01:58:00,2555160.345483053,-5887826.451877035,2560714.973358262,-298.91939362087203,-3163.083078458094,-6987.992083758052
2020-01-01 01:59:00,2530913.6925116633,-6064630.159397985,2136156.296330852,-508.3941758767336,-2727.898917425256,-7158.83944467736
2020-01-01 02:00:00,2494272.3271902977,-6214896.616141446,1702277.1822877915,-711.8742537720373,-2278.915368044159,-7298.521920577616
2020-01-01 02:01:00,2445627.699455896,-6337861.470519676,1260968.9062222783,-908.3566266582295,-1818.1430173923252,-7406.398751088474
2020-01-01 02:02:00,2385428.3781653503,-6432878.762670084,814155.2851219787,-1096.883750145592,-1347.6595000821383,-7481.969977867263
2020-01-01 02:03:00,2314178.8776917257,-6499428.940717202,363785.79051311867,-1276.549558884237,-869.5990070136204,-7524.881447565033
2020-01-01 02:04:00,2232436.484668933,-6537122.101623245,-88173.12802043633,-1446.50496975746,-386.1407841387628,-7534.927937973942
2020-01-01 02:05:00,2140807.887581607,-6545700.991672647,-539747.147468261,-1605.9629796698239,100.50326263989359,-7512.053527657024
2020-01-01 02:06:00,2039945.211048894,-6525042.3305404,-988963.0336420264,-1754.2028726216063,588.100034251785,-7456.351747374727
2020-01-01 02:07:00,1930541.5615081838,-6475156.655392552,-1433857.639444119,-1890.5736611207883,1074.406076318716,-7368.065318412935
2020-01-01 02:08:00,1813326.4741730164,-6396187.720103771,-1872486.863401366,-2014.4969985931418,1557.178352630593,-7247.58513318878
2020-01-01 02:09:00,1689061.6146359323,-6288412.497461751,-2302934.492709283,-2125.4697793165415,2034.1855266546886,-7095.448133510651
2020-01-01 02:10:00,1558537.0517190052,-6152242.844298279,-2723320.8550321716,-2223.0666221185193,2503.220330983025,-6912.333741868671
2020-01-01 02:11:00,1422567.3401328996,-5988226.386590375,-3131811.086397332,-2306.941971307755,2962.1125256116325,-6699.05945387823
2020-01-01 02:12:00,1281983.7101694145,-5797034.335151227,-3526623.6675721547,-2376.8299872172092,3408.737292575002,-6456.57875826106
2020-01-01 02:13:00,1137631.2375715454,-5579464.596307757,-3906037.865549318,-2432.5454948557026,3841.02647823268,-6185.973238740895
2020-01-01 02:14:00,990363.7775225239,-5336437.46015667,-4268401.41723398,-2473.983989421028,4256.977741000826,-5888.447316479131
2020-01-01 02:15:00,841039.1172421933,-5068991.780739982,-4612138.61455417,-2501.121456102582,4654.663816915634,-5565.3225918712005
2020-01-01 02:16:00,690514.1179999509,-4778279.860388382,-4935756.733228392,-2514.0136423745735,5032.241588438513,-5218.031462185418
2020-01-01 02:17:00,539639.8774447613,-4465561.372295163,-5237851.541106983,-2512.7947864073285,5387.960723006691,-4848.110092026701
2020-01-01 02:18:00,389257.0245238207,-4132197.041101358,-5517112.695568953,-2497.6758569549293,5720.17174573893,-4457.190725049565
2020-01-01 02:19:00,240191.23405185202,-3779642.804651263,-5772329.839455046,-2468.942364572371,6027.333412421666,-4046.993325345412
2020-01-01 02:20:00,93249.02271526959,-3409445.182959944,-6002400.205018381,-2426.9518084734405,6308.019250706738,-3619.3165369285407
2020-01-01 02:21:00,-50786.42596051935,-3023234.8656040234,-6206333.657719518,-2372.1307747953288,6560.922985493266,-3176.029488408631
2020-01-01 02:22:00,-191159.85624825605,-2622713.7203713637,-6383250.002872739,-2304.9716485397016,6784.863424837909,-2719.0660024790036
2020-01-01 02:23:00,-327147.30620870925,-2209651.584390146,-6532387.616062077,-2226.029252368274,6978.789992727132,-2250.414423156462
2020-01-01 02:24:00,-458059.87963873916,-1785877.3872463526,-6653105.7945224345,-2135.916867448092,7141.786758770528,-1772.1092543185616
2020-01-01 02:25:00,-583247.1980817798,-1353271.0896980488,-6744888.004359017,-2035.3021145602695,7273.075996242847,-1286.2223820998606
2020-01-01 02:26:00,-702100.4823258275,-913755.1554705985,-6807343.16182976,-1924.9027922409068,7372.021273616879,-794.8546886889475
2020-01-01 02:27:00,-814055.3390247277,-469285.7572627715,-6840205.950059312,-1805.4826024522802,7438.129985261735,-300.1277759729554
2020-01-01 02:28:00,-918594.3339779734,-21843.962950311136,-6843337.2448976785,-1677.8466974712726,7471.0552268405045,195.8245048888425
2020-01-01 02:29:00,-1015249.4420902128,426572.8550281377,-6816725.72363622,-1542.8369849351695,7470.596918345423,690.865021879466
2020-01-01 02:30:00,-1103604.4674166015,873959.1518226347,-6760491.684617486,-1401.3271342794349,7436.702082131392,1182.8631152405576
