datetime_utc,ground_station,range_rate
2020-01-01 01:02:30,Australia,-6406.112175541024
2020-01-01 01:03:00,Australia,-6290.912638822765
2020-01-01 01:03:30,Australia,-6137.078489680343
2020-01-01 01:04:00,Australia,-5960.896444970149
2020-01-01 01:04:30,Australia,-5692.02140592856
2020-01-01 01:05:00,Australia,-5369.430712934766
2020-01-01 01:05:30,Australia,-4880.042358486591
2020-01-01 01:06:00,Australia,-4256.165567215987
2020-01-01 01:06:30,Australia,-3458.56619713701
2020-01-01 01:07:00,Australia,-2437.935494864397
2020-01-01 01:07:30,Australia,-1205.831821725399
2020-01-01 01:08:00,Australia,107.61456360748075
2020-01-01 01:08:30,Australia,1442.5816399741636
2020-01-01 01:09:00,Australia,2626.0715541028303
2020-01-01 01:09:30,Australia,3632.8161872718956
2020-01-01 01:10:00,Australia,4406.459523619237
2020-01-01 01:10:30,Australia,4980.630630018492
2020-01-01 01:11:00,Australia,5435.9549930336625
2020-01-01 01:11:30,Australia,5774.864405742174
2020-01-01 01:12:00,Australia,6016.173109145615
2020-01-01 01:12:30,Australia,6209.3078362333345
2020-01-01 01:13:00,Australia,6342.684191088168
2020-01-01 01:35:00,Svalbard,-6906.609034315471
2020-01-01 01:35:30,Svalbard,-6839.189513355122
2020-01-01 01:36:00,Svalbard,-6775.206354098504
2020-01-01 01:36:30,Svalbard,-6705.847100621564
2020-01-01 01:37:00,Svalbard,-6558.484113760567
2020-01-01 01:37:30,Svalbard,-6360.775718773394
2020-01-01 01:38:00,Svalbard,-6049.401852591966
2020-01-01 01:38:30,Svalbard,-5583.796558314475
2020-01-01 01:39:00,Svalbard,-4848.417504227885
2020-01-01 01:39:30,Svalbard,-3744.9432008606955
2020-01-01 01:40:00,Svalbard,-2078.9642139988296
2020-01-01 01:40:30,Svalbard,-37.449575827420425
2020-01-01 01:41:00,Svalbard,2023.548494646993
2020-01-01 01:41:30,Svalbard,3698.789246042334
2020-01-01 01:42:00,Svalbard,4837.823040804477
2020-01-01 01:42:30,Svalbard,5560.500797320372
2020-01-01 01:43:00,Svalbard,6043.853638891272
2020-01-01 01:43:30,Svalbard,6371.717265518106
2020-01-01 01:44:00,Svalbard,6574.638907287524
2020-01-01 01:44:30,Svalbard,6693.017374509672
2020-01-01 01:45:00,Svalbard,6783.793201446417
2020-01-01 01:45:30,Svalbard,6874.795933727291
2020-01-01 01:46:00,Svalbard,6905.603860767068
2020-01-01 02:07:30,Argentina,-6106.789970162692
2020-01-01 02:08:00,Argentina,-5938.058339359871
2020-01-01 02:08:30,Argentina,-5725.354782258977
2020-01-01 02:09:00,Argentina,-5472.457496910813
2020-01-01 02:09:30,Argentina,-5105.849580241685
2020-01-01 02:10:00,Argentina,-4657.648293993552
2020-01-01 02:10:30,Argentina,-4102.556042687171
2020-01-01 02:11:00,Argentina,-3394.3705993435096
2020-01-01 02:11:30,Argentina,-2497.6221265576073
2020-01-01 02:12:00,Argentina,-1494.5474297554476
2020-01-01 02:12:30,Argentina,-397.6039805747454
2020-01-01 02:13:00,Argentina,752.9700259373878
2020-01-01 02:13:30,Argentina,1832.0320443504713
2020-01-01 02:14:00,Argentina,2817.8952862648866
2020-01-01 02:14:30,Argentina,3614.6147599114697
2020-01-01 02:15:00,Argentina,4267.287603292886
2020-01-01 02:15:30,Argentina,4796.794241723009
2020-01-01 02:16:00,Argentina,5208.872297851642
2020-01-01 02:16:30,Argentina,5503.343149000461
2020-01-01 02:17:00,Argentina,5757.992569160657
2020-01-01 02:17:30,Argentina,5953.297132925534
2020-01-01 02:18:00,Antarctica,-6513.4554654875055
2020-01-01 02:18:30,Antarctica,-6385.957374095078
2020-01-01 02:19:00,Antarctica,-6213.632714358289
2020-01-01 02:19:30,Antarctica,-5999.539436935473
2020-01-01 02:20:00,Antarctica,-5689.958761008987
2020-01-01 02:20:30,Antarctica,-5292.8083558740755
2020-01-01 02:21:00,Antarctica,-4699.370725338972
2020-01-01 02:21:30,Antarctica,-3912.8828263584546
2020-01-01 02:22:00,Antarctica,-2855.4918450333776
2020-01-01 02:22:30,Antarctica,-1502.7684705613026
2020-01-01 02:23:00,Antarctica,35.46100406176241
2020-01-01 02:23:30,Antarctica,1548.0684802791438
2020-01-01 02:24:00,Antarctica,2893.514471357365
2020-01-01 02:24:30,Antarctica,3941.3131185092407
2020-01-01 02:25:00,Antarctica,4727.080144240053
2020-01-01 02:25:30,Antarctica,5296.339621844177
2020-01-01 02:26:00,Antarctica,5697.080880049344
2020-01-01 02:26:30,Antarctica,6005.271752493188
2020-01-01 02:27:00,Antarctica,6207.053542918723
2020-01-01 02:27:30,Antarctica,6366.978991707869
2020-01-01 02:28:00,Antarctica,6497.604997207319
2020-01-01 02:28:30,Antarctica,6560.0341830309
2020-01-01 02:37:00,Australia,-6216.428525117192
2020-01-01 02:37:30,Australia,-6065.477396998502
2020-01-01 02:38:00,Australia,-5840.990746567263
2020-01-01 02:38:30,Australia,-5583.658938267393
2020-01-01 02:39:00,Australia,-5233.590376550259
2020-01-01 02:39:30,Australia,-4767.498972469631
2020-01-01 02:40:00,Australia,-4201.551298189722
2020-01-01 02:40:30,Australia,-3466.707528399495
2020-01-01 02:41:00,Australia,-2559.0858971310527
2020-01-01 02:41:30,Australia,-1471.6215187699854
2020-01-01 02:42:00,Australia,-331.78113127850423
2020-01-01 02:42:30,Australia,885.2767700728871
2020-01-01 02:43:00,Australia,2006.3365289484218
2020-01-01 02:43:30,Australia,2995.457624047859
2020-01-01 02:44:00,Australia,3807.535900441369
2020-01-01 02:44:30,Australia,4461.55743826596
2020-01-01 02:45:00,Australia,4987.500560735279
2020-01-01 02:45:30,Australia,5393.868863722117
2020-01-01 02:46:00,Australia,5688.201910546817
2020-01-01 02:46:30,Australia,5926.6896166337765
2020-01-01 02:47:00,Australia,6136.244243120913
2020-01-01 03:09:00,Svalbard,-6910.868697947167
2020-01-01 03:09:30,Svalbard,-6872.525248761371
2020-01-01 03:10:00,Svalbard,-6817.130563799648
2020-01-01 03:10:30,Svalbard,-6736.519251707887
2020-01-01 03:11:00,Svalbard,-6597.546710806612
2020-01-01 03:11:30,Svalbard,-6416.184835650802
2020-01-01 03:12:00,Svalbard,-6113.109210483487
2020-01-01 03:12:30,Svalbard,-5666.601637116536
2020-01-01 03:13:00,Svalbard,-4977.1426062729915
2020-01-01 03:13:30,Svalbard,-3897.5201098569723
2020-01-01 03:14:00,Svalbard,-2286.7421117320723
2020-01-01 03:14:30,Svalbard,-232.35643973214997
2020-01-01 03:15:00,Svalbard,1874.4956119778033
2020-01-01 03:15:30,Svalbard,3615.3795326403065
2020-01-01 03:16:00,Svalbard,4789.618656931775
2020-01-01 03:16:30,Svalbard,5541.967627044536
2020-01-01 03:17:00,Svalbard,6037.136318515977
2020-01-01 03:17:30,Svalbard,6355.186397960001
2020-01-01 03:18:00,Svalbard,6561.019229380317
2020-01-01 03:18:30,Svalbard,6720.909625199464
2020-01-01 03:19:00,Svalbard,6797.4737391399185
2020-01-01 03:19:30,Svalbard,6870.829782116582
2020-01-01 03:20:00,Svalbard,6910.297683030509
2020-01-01 03:20:30,Svalbard,6952.8277479109365
2020-01-01 03:54:00,Antarctica,-5292.46802531462
2020-01-01 03:54:30,Antarctica,-5040.181539967609
2020-01-01 03:55:00,Antarctica,-4728.7246537397
2020-01-01 03:55:30,Antarctica,-4329.802752198974
2020-01-01 03:56:00,Antarctica,-3851.655739419593
2020-01-01 03:56:30,Antarctica,-3302.595726643434
2020-01-01 03:57:00,Antarctica,-2662.889982540753
2020-01-01 03:57:30,Antarctica,-1926.09444188583
2020-01-01 03:58:00,Antarctica,-1079.7091122141878
2020-01-01 03:58:30,Antarctica,-216.77704577988422
2020-01-01 03:59:00,Antarctica,656.5994492903268
2020-01-01 03:59:30,Antarctica,1509.7548449625483
2020-01-01 04:00:00,Antarctica,2263.10364870151
2020-01-01 04:00:30,Antarctica,2991.843316504743
2020-01-01 04:01:00,Antarctica,3582.9087084699136
2020-01-01 04:01:30,Antarctica,4078.9584772942553
2020-01-01 04:02:00,Antarctica,4511.486397156185
2020-01-01 04:02:30,Antarctica,4864.380040837709
2020-01-01 04:03:00,Antarctica,5142.902184864453
2020-01-01 04:03:30,Antarctica,5385.588625526735
2020-01-01 04:43:00,Svalbard,-7024.62639526538
2020-01-01 04:43:30,Svalbard,-6997.8319442398715
2020-01-01 04:44:00,Svalbard,-6973.562059609906
2020-01-01 04:44:30,Svalbard,-6906.546127522768
2020-01-01 04:45:00,Svalbard,-6817.08450145423
2020-01-01 04:45:30,Svalbard,-6712.861060008837
2020-01-01 04:46:00,Svalbard,-6522.570559950331
2020-01-01 04:46:30,Svalbard,-6208.662850999871
2020-01-01 04:47:00,Svalbard,-5707.221333857576
2020-01-01 04:47:30,Svalbard,-4812.868353857913
2020-01-01 04:48:00,Svalbard,-3357.9687825671654
2020-01-01 04:48:30,Svalbard,-1116.9241428283447
2020-01-01 04:49:00,Svalbard,1458.1044213139537
2020-01-01 04:49:30,Svalbard,3610.7484397623975
2020-01-01 04:50:00,Svalbard,4985.652720179381
2020-01-01 04:50:30,Svalbard,5803.028387102572
2020-01-01 04:51:00,Svalbard,6277.452938579961
2020-01-01 04:51:30,Svalbard,6549.566466327815
2020-01-01 04:52:00,Svalbard,6733.219081204294
2020-01-01 04:52:30,Svalbard,6856.715254466668
2020-01-01 04:53:00,Svalbard,6924.8218707002925
2020-01-01 04:53:30,Svalbard,6957.267714294696
2020-01-01 04:54:00,Svalbard,7002.843050612428
2020-01-01 04:54:30,Svalbard,6998.666052648892
2020-01-01 06:17:30,Svalbard,-6993.893580397215
2020-01-01 06:18:00,Svalbard,-6981.88521164762
2020-01-01 06:18:30,Svalbard,-6943.188661229761
2020-01-01 06:19:00,Svalbard,-6895.463849912295
2020-01-01 06:19:30,Svalbard,-6823.332955158056
2020-01-01 06:20:00,Svalbard,-6714.487937433857
2020-01-01 06:20:30,Svalbard,-6517.323057734935
2020-01-01 06:21:00,Svalbard,-6218.3656196831635
2020-01-01 06:21:30,Svalbard,-5709.540495950448
2020-01-01 06:22:00,Svalbard,-4851.494846524737
2020-01-01 06:22:30,Svalbard,-3308.2056086222956
2020-01-01 06:23:00,Svalbard,-978.6847292037785
2020-01-01 06:23:30,Svalbard,1701.1453327563243
2020-01-01 06:24:00,Svalbard,3824.7124071800113
2020-01-01 06:24:30,Svalbard,5140.879410973855
2020-01-01 06:25:00,Svalbard,5894.054035403516
2020-01-01 06:25:30,Svalbard,6327.258213947525
2020-01-01 06:26:00,Svalbard,6608.78057043908
2020-01-01 06:26:30,Svalbard,6743.671127396997
2020-01-01 06:27:00,Svalbard,6843.43040730921
2020-01-01 06:27:30,Svalbard,6912.733374080269
2020-01-01 06:28:00,Svalbard,6980.785279992611
2020-01-01 06:28:30,Svalbard,6974.548287834875
2020-01-01 06:29:00,Svalbard,6981.2528572376295
2020-01-01 07:52:30,Svalbard,-6687.330507144588
2020-01-01 07:53:00,Svalbard,-6600.654498336182
2020-01-01 07:53:30,Svalbard,-6554.906647835841
2020-01-01 07:54:00,Svalbard,-6403.673513481931
2020-01-01 07:54:30,Svalbard,-6216.891023763263
2020-01-01 07:55:00,Svalbard,-5979.408527470002
2020-01-01 07:55:30,Svalbard,-5613.1872939895575
2020-01-01 07:56:00,Svalbard,-5115.299967934177
2020-01-01 07:56:30,Svalbard,-4389.425551778357
2020-01-01 07:57:00,Svalbard,-3337.49805259021
2020-01-01 07:57:30,Svalbard,-1959.9029043431856
2020-01-01 07:58:00,Svalbard,-275.670592884613
2020-01-01 07:58:30,Svalbard,1418.3297238054952
2020-01-01 07:59:00,Svalbard,2921.0328857530135
2020-01-01 07:59:30,Svalbard,4080.7124029805836
2020-01-01 08:00:00,Svalbard,4900.64020343174
2020-01-01 08:00:30,Svalbard,5502.083485960415
2020-01-01 08:01:00,Svalbard,5878.630366875824
