datetime_utc,ground_station,range_rate
2020-01-01 01:02:30,Australia,-6396.384660455274
2020-01-01 01:03:00,Australia,-6288.277624567145
2020-01-01 01:03:30,Australia,-6143.701624181143
2020-01-01 01:04:00,Australia,-5950.830537032534
2020-01-01 01:04:30,Australia,-5693.262557149914
2020-01-01 01:05:00,Australia,-5348.518820066098
2020-01-01 01:05:30,Australia,-4886.820089632634
2020-01-01 01:06:00,Australia,-4271.649344509371
2020-01-01 01:06:30,Australia,-3465.413952970882
2020-01-01 01:07:00,Australia,-2444.9554160860853
2020-01-01 01:07:30,Australia,-1227.5867660886213
2020-01-01 01:08:00,Australia,107.59009373894546
2020-01-01 01:08:30,Australia,1432.9337313475814
2020-01-01 01:09:00,Australia,2625.3428163657345
2020-01-01 01:09:30,Australia,3615.2189153729705
2020-01-01 01:10:00,Australia,4392.990291567332
2020-01-01 01:10:30,Australia,4985.31132003572
2020-01-01 01:11:00,Australia,5430.186538423374
2020-01-01 01:11:30,Australia,5763.214399554204
2020-01-01 01:12:00,Australia,6012.977234100723
2020-01-01 01:12:30,Australia,6200.900255381721
2020-01-01 01:13:00,Australia,6342.573622030168
2020-01-01 01:35:00,Svalbard,-6905.572140793465
2020-01-01 01:35:30,Svalbard,-6863.0882487991585
2020-01-01 01:36:00,Svalbard,-6798.90787201483
2020-01-01 01:36:30,Svalbard,-6704.43455098913
2020-01-01 01:37:00,Svalbard,-6566.166971776003
2020-01-01 01:37:30,Svalbard,-6362.292161021798
2020-01-01 01:38:00,Svalbard,-6056.724738747102
2020-01-01 01:38:30,Svalbard,-5589.245530914066
2020-01-01 01:39:00,Svalbard,-4862.474388311646
2020-01-01 01:39:30,Svalbard,-3739.401537124412
2020-01-01 01:40:00,Svalbard,-2103.9485348388753
2020-01-01 01:40:30,Svalbard,-46.09499207666816
2020-01-01 01:41:00,Svalbard,2022.6032167233986
2020-01-01 01:41:30,Svalbard,3680.694674194009
2020-01-01 01:42:00,Svalbard,4824.423015233149
