datetime_utc,ground_station,range
2020-01-01 01:02:30,Australia,2643030.5062953145
2020-01-01 01:03:00,Australia,2452646.319113382
2020-01-01 01:03:30,Australia,2265862.33260799
2020-01-01 01:04:00,Australia,2084381.766748673
2020-01-01 01:04:30,Australia,1909523.3682094782
2020-01-01 01:05:00,Australia,1743727.9467067372
2020-01-01 01:05:30,Australia,1589905.2299889904
2020-01-01 01:06:00,Australia,1452237.2931646176
2020-01-01 01:06:30,Australia,1335761.5370973907
2020-01-01 01:07:00,Australia,1246817.2567539643
2020-01-01 01:07:30,Australia,1191158.6007625535
2020-01-01 01:08:00,Australia,1174495.4952973332
2020-01-01 01:08:30,Australia,1197964.4144822326
2020-01-01 01:09:00,Australia,1259312.870562281
2020-01-01 01:09:30,Australia,1353660.1236947633
2020-01-01 01:10:00,Australia,1474429.6604892854
2020-01-01 01:10:30,Australia,1615577.4733140448
2020-01-01 01:11:00,Australia,1772110.0947642948
2020-01-01 01:11:30,Australia,1940210.3699122372
2020-01-01 01:12:00,Australia,2117042.697384619
2020-01-01 01:12:30,Australia,2300498.5651216847
2020-01-01 01:13:00,Australia,2488778.639389689
2020-01-01 01:35:00,Svalbard,2534102.2441902403
2020-01-01 01:35:30,Svalbard,2327506.514114023
2020-01-01 01:36:00,Svalbard,2122346.1655136794
2020-01-01 01:36:30,Svalbard,1919950.01611213
2020-01-01 01:37:00,Svalbard,1720621.4223491412
2020-01-01 01:37:30,Svalbard,1526507.12575614
2020-01-01 01:38:00,Svalbard,1339806.834541241
2020-01-01 01:38:30,Svalbard,1164864.941611302
2020-01-01 01:39:00,Svalbard,1007308.701739359
2020-01-01 01:39:30,Svalbard,877276.269535954
2020-01-01 01:40:00,Svalbard,788411.6454188339
2020-01-01 01:40:30,Svalbard,755850.6394793652
2020-01-01 01:41:00,Svalbard,786221.2699108428
2020-01-01 01:41:30,Svalbard,873162.1500502375
2020-01-01 01:42:00,Svalbard,1002147.7374490536
2020-01-01 01:42:30,Svalbard,1159043.2114999213
2020-01-01 01:43:00,Svalbard,1333645.9069539981
2020-01-01 01:43:30,Svalbard,1519891.1265797075
2020-01-01 01:44:00,Svalbard,1713813.2400596363
2020-01-01 01:44:30,Svalbard,1912723.546961064
2020-01-01 01:45:00,Svalbard,2115313.511104804
2020-01-01 01:45:30,Svalbard,2320368.2577045932
2020-01-01 01:46:00,Svalbard,2527190.7409293205
2020-01-01 02:07:30,Argentina,2632954.5641028774
2020-01-01 02:08:00,Argentina,2452365.4601563704
2020-01-01 02:08:30,Argentina,2277146.1065937933
2020-01-01 02:09:00,Argentina,2109009.28400376
2020-01-01 02:09:30,Argentina,1950335.979458052
2020-01-01 02:10:00,Argentina,1803702.5793341969
2020-01-01 02:10:30,Argentina,1671970.6770853251
2020-01-01 02:11:00,Argentina,1559751.2413072381
2020-01-01 02:11:30,Argentina,1471050.7833224481
2020-01-01 02:12:00,Argentina,1410924.2883197472
2020-01-01 02:12:30,Argentina,1382571.4144593854
2020-01-01 02:13:00,Argentina,1388168.4259424005
2020-01-01 02:13:30,Argentina,1427409.9076636522
2020-01-01 02:14:00,Argentina,1497513.6985745754
2020-01-01 02:14:30,Argentina,1594110.7129065674
2020-01-01 02:15:00,Argentina,1712842.8584495848
2020-01-01 02:15:30,Argentina,1849306.506509077
2020-01-01 02:16:00,Argentina,1999525.5489464
2020-01-01 02:16:30,Argentina,2160791.8571260264
2020-01-01 02:17:00,Argentina,2330097.6023721877
2020-01-01 02:17:30,Antarctica,2589384.755658798
2020-01-01 02:18:00,Antarctica,2393227.411999289
2020-01-01 02:18:30,Antarctica,2199727.6035041986
2020-01-01 02:19:00,Antarctica,2010551.8605935418
2020-01-01 02:19:30,Antarctica,1827039.6124780858
2020-01-01 02:20:00,Antarctica,1650906.8441312881
2020-01-01 02:20:30,Antarctica,1485446.901597489
