datetime_utc,ground_station,range
2020-01-01 01:02:30,Australia,2643571.883354978
2020-01-01 01:03:00,Australia,2453218.6737200436
2020-01-01 01:03:30,Australia,2266630.915544012
2020-01-01 01:04:00,Australia,2085070.3942622554
2020-01-01 01:04:30,Australia,1910218.7767980369
2020-01-01 01:05:00,Australia,1744337.1886874228
2020-01-01 01:05:30,Australia,1590468.8085795846
2020-01-01 01:06:00,Australia,1452657.0461993585
2020-01-01 01:06:30,Australia,1336081.2498261193
2020-01-01 01:07:00,Australia,1246885.9833280304
2020-01-01 01:07:30,Australia,1191374.6286124743
2020-01-01 01:08:00,Australia,1174427.5625172134
2020-01-01 01:08:30,Australia,1197730.6614335973
2020-01-01 01:09:00,Australia,1259054.2502999164
2020-01-01 01:09:30,Australia,1353203.2074894623
2020-01-01 01:10:00,Australia,1473831.4177913822
2020-01-01 01:10:30,Australia,1614920.5862740558
2020-01-01 01:11:00,Australia,1771471.6046983632
2020-01-01 01:11:30,Australia,1939609.7812684132
2020-01-01 01:12:00,Australia,2116427.49119056
2020-01-01 01:12:30,Australia,2299764.7257661805
2020-01-01 01:13:00,Australia,2488012.792119854
2020-01-01 01:35:00,Svalbard,2534747.9187245118
2020-01-01 01:35:30,Svalbard,2328167.0462038377
2020-01-01 01:36:00,Svalbard,2123169.2304539247
2020-01-01 01:36:30,Svalbard,1920525.0446324213
2020-01-01 01:37:00,Svalbard,1721330.1967528989
2020-01-01 01:37:30,Svalbard,1527198.963111234
2020-01-01 01:38:00,Svalbard,1340594.8320645834
2020-01-01 01:38:30,Svalbard,1165395.643327921
2020-01-01 01:39:00,Svalbard,1007811.7230759963
2020-01-01 01:39:30,Svalbard,877605.3747891536
2020-01-01 01:40:00,Svalbard,788634.9023555416
2020-01-01 01:40:30,Svalbard,755722.5471561973
2020-01-01 01:41:00,Svalbard,785981.3912426699
2020-01-01 01:41:30,Svalbard,872839.8772012156
2020-01-01 01:42:00,Svalbard,1001604.829635764
2020-01-01 01:42:30,Svalbard,1158272.80310974
2020-01-01 01:43:00,Svalbard,1332904.547912614
2020-01-01 01:43:30,Svalbard,1519162.8911491665
