datetime_utc,ground_station,range_rate
2020-01-01 01:14:00,Australia,4523.141202310313
2020-01-01 01:14:30,Australia,-4032.511989798206
2020-01-01 01:15:00,Australia,10041.915135678752
2020-01-01 01:15:30,Australia,8077.424975551888
2020-01-01 01:16:00,Australia,6038.250680647706
2020-01-01 01:16:30,Australia,2719.800200529664
2020-01-01 01:17:00,Australia,5499.380629851754
2020-01-01 01:17:30,Australia,-5081.796618060943
2020-01-01 01:18:00,Australia,3876.9643988884964
2020-01-01 01:18:30,Australia,6987.995050138156
2020-01-01 01:19:00,Australia,-15699.285017729811
2020-01-01 01:19:30,Australia,5764.0801552987905
2020-01-01 01:20:00,Australia,746.8700361844371
2020-01-01 01:20:30,Australia,-623.0547137398607
2020-01-01 01:21:00,Australia,7259.661955428868
2020-01-01 01:21:30,Australia,23541.562351935638
2020-01-01 01:22:00,Australia,-26153.392940293652
2020-01-01 01:22:30,Australia,13747.899815604904
2020-01-01 01:23:00,Australia,16081.74797590245
2020-01-01 01:23:30,Australia,-11941.116387562346
2020-01-01 01:24:00,Australia,7419.209377525866
2020-01-01 01:24:30,Australia,5108.946609288904
2020-01-01 01:46:00,Svalbard,9457.582662796998
2020-01-01 01:46:30,Svalbard,-5845.3969069266595
2020-01-01 01:47:00,Svalbard,-4549.08980545229
2020-01-01 01:47:30,Svalbard,-16340.917139609559
2020-01-01 01:48:00,Svalbard,-14587.85170497013
2020-01-01 01:48:30,Svalbard,4441.4060319819255
2020-01-01 01:49:00,Svalbard,-53.08818622864601
2020-01-01 01:49:30,Svalbard,10941.706877864513
2020-01-01 01:50:00,Svalbard,-11335.965976063355
2020-01-01 01:50:30,Svalbard,-881.1161049462767
2020-01-01 01:51:00,Svalbard,5028.087497907194
2020-01-01 01:51:30,Svalbard,7799.640150202534
2020-01-01 01:52:00,Svalbard,-1334.0444431590004
2020-01-01 01:52:30,Svalbard,-9912.095860317426
2020-01-01 01:53:00,Svalbard,10159.110710540104
2020-01-01 01:53:30,Svalbard,-476.43980229334375
2020-01-01 01:54:00,Svalbard,-157.61388030828766
2020-01-01 01:54:30,Svalbard,20431.223712687774
2020-01-01 01:55:00,Svalbard,7402.650146198276
2020-01-01 01:55:30,Svalbard,-5018.605356729762
2020-01-01 01:56:00,Svalbard,12354.062463209022
2020-01-01 01:56:30,Svalbard,10142.888861717302
2020-01-01 01:57:00,Svalbard,-6310.496973699486
2020-01-01 02:19:30,Argentina,-25807.867985455494
2020-01-01 02:20:00,Argentina,-21666.819178723144
2020-01-01 02:20:30,Argentina,-14468.675754061898
2020-01-01 02:21:00,Argentina,-17814.271359344202
2020-01-01 02:21:30,Argentina,-23742.693785453284
2020-01-01 02:22:00,Argentina,5944.848624824492
2020-01-01 02:22:30,Argentina,-3181.2007608894414
2020-01-01 02:23:00,Argentina,-8757.44558605748
2020-01-01 02:23:30,Argentina,-5415.774776037835
2020-01-01 02:24:00,Argentina,11024.239729578203
2020-01-01 02:24:30,Argentina,-1861.7621696389106
2020-01-01 02:25:00,Argentina,3965.8585287798464
2020-01-01 02:25:30,Argentina,10380.741502692486
2020-01-01 02:26:00,Argentina,6121.838680042184
2020-01-01 02:26:30,Argentina,-5353.277618023066
2020-01-01 02:27:00,Argentina,-19219.619097184535
2020-01-01 02:27:30,Argentina,4994.844137810342
2020-01-01 02:28:00,Argentina,-4794.597237762493
2020-01-01 02:28:30,Argentina,17577.869277822145
2020-01-01 02:29:00,Antarctica,-79.95129804120097
2020-01-01 02:29:30,Antarctica,-2302.587015225437
2020-01-01 02:30:00,Antarctica,-1197.0817341743605
2020-01-01 02:30:30,Antarctica,-2471.763741279492
2020-01-01 02:31:00,Antarctica,-12057.218064485249
2020-01-01 02:31:30,Antarctica,-2673.5580064411606
2020-01-01 02:32:00,Antarctica,-12963.707790487055
2020-01-01 02:32:30,Antarctica,-5810.2060324253425
2020-01-01 02:33:00,Antarctica,1954.552026061086
2020-01-01 02:33:30,Antarctica,-10323.014629410955
2020-01-01 02:34:00,Antarctica,-9781.729146121757
2020-01-01 02:34:30,Antarctica,4866.616052924523
2020-01-01 02:35:00,Antarctica,2855.344571924054
2020-01-01 02:35:30,Antarctica,21911.90826576787
2020-01-01 02:36:00,Antarctica,-865.527205259752
2020-01-01 02:36:30,Antarctica,22277.459685427682
2020-01-01 02:37:00,Antarctica,3531.488547860524
2020-01-01 02:37:30,Antarctica,9198.01597323213
2020-01-01 02:38:00,Antarctica,4946.007283494162
2020-01-01 02:38:30,Antarctica,10958.796105513698
2020-01-01 02:39:00,Antarctica,7175.254176810973
2020-01-01 02:39:30,Antarctica,13660.751117105734
2020-01-01 02:40:00,Antarctica,16448.76920107458
