datetime_utc,ground_station,range_rate
2020-01-01 01:14:00,Australia,-6512.541838254378
2020-01-01 01:14:30,Australia,-6380.319124167634
2020-01-01 01:15:00,Australia,-6195.8364220752355
2020-01-01 01:15:30,Australia,-5936.978676462825
2020-01-01 01:16:00,Australia,-5570.607004371427
2020-01-01 01:16:30,Australia,-5048.291156729417
2020-01-01 01:17:00,Australia,-4304.637764803267
2020-01-01 01:17:30,Australia,-3268.345566544593
2020-01-01 01:18:00,Australia,-1904.2603844358691
2020-01-01 01:18:30,Australia,-286.25840391638144
2020-01-01 01:19:00,Australia,1375.7288997931657
2020-01-01 01:19:30,Australia,2843.8333013098563
2020-01-01 01:20:00,Australia,3994.233554709976
2020-01-01 01:20:30,Australia,4832.904479826346
2020-01-01 01:21:00,Australia,5425.383958266008
2020-01-01 01:21:30,Australia,5841.380491064225
2020-01-01 01:22:00,Australia,6135.229993709145
2020-01-01 01:22:30,Australia,6344.821748822072
2020-01-01 01:23:00,Australia,6495.566025027884
2020-01-01 01:23:30,Australia,6604.386799805587
2020-01-01 01:24:00,Australia,6682.64633218683
2020-01-01 01:24:30,Australia,6738.0861483733115
2020-01-01 01:46:00,Svalbard,-6889.357627837871
2020-01-01 01:46:30,Svalbard,-6826.725993116121
2020-01-01 01:47:00,Svalbard,-6734.011982513979
2020-01-01 01:47:30,Svalbard,-6597.773358430494
2020-01-01 01:48:00,Svalbard,-6396.239739393024
2020-01-01 01:48:30,Svalbard,-6093.273744440421
2020-01-01 01:49:00,Svalbard,-5628.277723735571
2020-01-01 01:49:30,Svalbard,-4902.570692846481
2020-01-01 01:50:00,Svalbard,-3775.837998363333
2020-01-01 01:50:30,Svalbard,-2126.704436205327
2020-01-01 01:51:00,Svalbard,-44.17267852901068
2020-01-01 01:51:30,Svalbard,2049.0952818811993
2020-01-01 01:52:00,Svalbard,3720.559130090548
2020-01-01 01:52:30,Svalbard,4867.609615824911
2020-01-01 01:53:00,Svalbard,5607.515784699903
2020-01-01 01:53:30,Svalbard,6081.708565565712
2020-01-01 01:54:00,Svalbard,6390.665508288253
2020-01-01 01:54:30,Svalbard,6596.260962265034
2020-01-01 01:55:00,Svalbard,6735.400651566083
2020-01-01 01:55:30,Svalbard,6830.299793844491
2020-01-01 01:56:00,Svalbard,6894.659218369681
2020-01-01 01:56:30,Svalbard,6937.176020194949
2020-01-01 01:57:00,Svalbard,6963.533915134707
2020-01-01 02:19:30,Argentina,-5026.37877572344
2020-01-01 02:20:00,Argentina,-4641.482134518566
2020-01-01 02:20:30,Argentina,-4167.584946937755
2020-01-01 02:21:00,Argentina,-3590.828909584823
2020-01-01 02:21:30,Argentina,-2901.850645594784
2020-01-01 02:22:00,Argentina,-2101.22236650333
2020-01-01 02:22:30,Argentina,-1205.1604843415244
2020-01-01 02:23:00,Argentina,-248.13795609424383
2020-01-01 02:23:30,Argentina,721.2249766726532
2020-01-01 02:24:00,Argentina,1651.134073806912
2020-01-01 02:24:30,Argentina,2499.3091775416597
2020-01-01 02:25:00,Argentina,3240.745261361203
2020-01-01 02:25:30,Argentina,3868.0160659969797
2020-01-01 02:26:00,Argentina,4386.541999136898
2020-01-01 02:26:30,Argentina,4808.699046840379
2020-01-01 02:27:00,Argentina,5149.192672524292
2020-01-01 02:27:30,Argentina,5422.29101492887
2020-01-01 02:28:00,Argentina,5640.545191935802
2020-01-01 02:28:30,Argentina,5814.420095345911
2020-01-01 02:29:00,Antarctica,-6270.161478262018
2020-01-01 02:29:30,Antarctica,-6092.536905474392
2020-01-01 02:30:00,Antarctica,-5852.767915354765
2020-01-01 02:30:30,Antarctica,-5527.495136921824
2020-01-01 02:31:00,Antarctica,-5084.40939177443
2020-01-01 02:31:30,Antarctica,-4481.504543482937
2020-01-01 02:32:00,Antarctica,-3671.5922126231303
2020-01-01 02:32:30,Antarctica,-2619.1922578630747
2020-01-01 02:33:00,Antarctica,-1334.2485989319503
2020-01-01 02:33:30,Antarctica,94.48203599230294
2020-01-01 02:34:00,Antarctica,1511.6623014433435
2020-01-01 02:34:30,Antarctica,2767.695221660551
2020-01-01 02:35:00,Antarctica,3785.319406015361
2020-01-01 02:35:30,Antarctica,4563.169891160287
2020-01-01 02:36:00,Antarctica,5140.031647288473
2020-01-01 02:36:30,Antarctica,5563.10057270375
2020-01-01 02:37:00,Antarctica,5873.217006537145
2020-01-01 02:37:30,Antarctica,6101.421652296593
2020-01-01 02:38:00,Antarctica,6270.046588766085
2020-01-01 02:38:30,Antarctica,6394.836445010878
2020-01-01 02:39:00,Antarctica,6486.860849041164
2020-01-01 02:39:30,Antarctica,6553.9512472260685
2020-01-01 02:40:00,Antarctica,6601.708230117278
