datetime_utc,ground_station,range
2020-01-01 01:13:00,Australia,2610793.1128268284
2020-01-01 01:13:30,Australia,2411424.364786277
2020-01-01 01:14:00,Australia,2211392.2343502333
2020-01-01 01:14:30,Australia,2019681.470258599
2020-01-01 01:15:00,Australia,1831812.6328441922
2020-01-01 01:15:30,Australia,1648944.371016509
2020-01-01 01:16:00,Australia,1476975.3729497534
2020-01-01 01:16:30,Australia,1319383.5270357942
2020-01-01 01:17:00,Australia,1175570.3651945267
2020-01-01 01:17:30,Australia,1060517.958350021
2020-01-01 01:18:00,Australia,981885.0153607073
2020-01-01 01:18:30,Australia,949634.6967489276
2020-01-01 01:19:00,Australia,964912.3312401642
2020-01-01 01:19:30,Australia,1029637.1681122294
2020-01-01 01:20:00,Australia,1131516.1289799125
2020-01-01 01:20:30,Australia,1267216.6785499859
2020-01-01 01:21:00,Australia,1419825.8472455237
2020-01-01 01:21:30,Australia,1589758.6933141793
2020-01-01 01:22:00,Australia,1769546.5168096442
2020-01-01 01:22:30,Australia,1957194.2317524145
2020-01-01 01:23:00,Australia,2150646.809725596
2020-01-01 01:23:30,Australia,2346062.4576129816
2020-01-01 01:24:00,Australia,2545516.1428780966
2020-01-01 01:45:30,Svalbard,2541698.363069575
2020-01-01 01:46:00,Svalbard,2332576.044439812
2020-01-01 01:46:30,Svalbard,2126736.1371810273
2020-01-01 01:47:00,Svalbard,1925147.6483270018
2020-01-01 01:47:30,Svalbard,1723283.3017864784
2020-01-01 01:48:00,Svalbard,1528455.1405798849
2020-01-01 01:48:30,Svalbard,1340835.3213430382
2020-01-01 01:49:00,Svalbard,1163773.6710401915
2020-01-01 01:49:30,Svalbard,1005781.0935009022
2020-01-01 01:50:00,Svalbard,873052.3625700055
2020-01-01 01:50:30,Svalbard,782884.702284735
2020-01-01 01:51:00,Svalbard,750838.9002367558
2020-01-01 01:51:30,Svalbard,780395.7108517326
2020-01-01 01:52:00,Svalbard,870151.7964699354
2020-01-01 01:52:30,Svalbard,999040.6567755368
2020-01-01 01:53:00,Svalbard,1158180.0913259897
2020-01-01 01:53:30,Svalbard,1334697.6851755711
2020-01-01 01:54:00,Svalbard,1521305.9869721727
2020-01-01 01:54:30,Svalbard,1715226.4619952245
2020-01-01 01:55:00,Svalbard,1916745.7241273618
2020-01-01 01:55:30,Svalbard,2118498.2743391334
2020-01-01 01:56:00,Svalbard,2327864.5203220868
2020-01-01 01:56:30,Svalbard,2533906.8705180082
2020-01-01 02:18:30,Argentina,2571946.4694233513
2020-01-01 02:19:00,Argentina,2407422.453429624
2020-01-01 02:19:30,Argentina,2250305.9926408404
2020-01-01 02:20:00,Argentina,2105691.827814948
2020-01-01 02:20:30,Argentina,1972891.7517602562
2020-01-01 02:21:00,Argentina,1854848.8360788196
2020-01-01 02:21:30,Argentina,1761965.1765990793
2020-01-01 02:22:00,Argentina,1683652.3380998655
2020-01-01 02:22:30,Argentina,1633279.2369701779
2020-01-01 02:23:00,Argentina,1611694.7056227115
2020-01-01 02:23:30,Argentina,1618251.449166119
2020-01-01 02:24:00,Argentina,1654357.3714282578
2020-01-01 02:24:30,Argentina,1715759.8501321496
2020-01-01 02:25:00,Argentina,1804357.4863939465
2020-01-01 02:25:30,Argentina,1910517.917046861
2020-01-01 02:26:00,Argentina,2034111.2284312458
2020-01-01 02:26:30,Argentina,2173648.4441310144
2020-01-01 02:27:00,Argentina,2324116.0647682333
2020-01-01 02:27:30,Argentina,2481365.0990117886
2020-01-01 02:28:00,Argentina,2646256.893809785
2020-01-01 02:28:30,Argentina,2819614.500368299
2020-01-01 02:29:00,Antarctica,2224625.89439337
2020-01-01 02:29:30,Antarctica,2039617.0393954904
2020-01-01 02:30:00,Antarctica,1859697.0347715416
2020-01-01 02:30:30,Antarctica,1690329.363335545
2020-01-01 02:31:00,Antarctica,1529180.745078771
2020-01-01 02:31:30,Antarctica,1384679.4258949724
2020-01-01 02:32:00,Antarctica,1261027.5782015065
2020-01-01 02:32:30,Antarctica,1168738.5816159525
2020-01-01 02:33:00,Antarctica,1108444.500857403
2020-01-01 02:33:30,Antarctica,1089657.7864019931
2020-01-01 02:34:00,Antarctica,1113315.6745965483
2020-01-01 02:34:30,Antarctica,1179357.325711112
2020-01-01 02:35:00,Antarctica,1278238.1975204153
2020-01-01 02:35:30,Antarctica,1402948.0202531752
2020-01-01 02:36:00,Antarctica,1548731.4897699656
2020-01-01 02:36:30,Antarctica,1709926.503560162
2020-01-01 02:37:00,Antarctica,1881296.4741722944
2020-01-01 02:37:30,Antarctica,2061565.7946184773
2020-01-01 02:38:00,Antarctica,2246055.5417835535
2020-01-01 02:38:30,Antarctica,2437014.9973245277
2020-01-01 02:39:00,Antarctica,2630731.3520779912
