datetime_utc,ground_station,range
2020-01-01 01:14:00,Australia,2213977.166574642
2020-01-01 01:14:30,Australia,2020470.568190652
2020-01-01 01:15:00,Australia,1831670.0843561387
2020-01-01 01:15:30,Australia,1649452.8404804317
2020-01-01 01:16:00,Australia,1476514.325128281
2020-01-01 01:16:30,Australia,1316763.6102116476
2020-01-01 01:17:00,Australia,1175821.940661161
2020-01-01 01:17:30,Australia,1061418.3159921877
2020-01-01 01:18:00,Australia,983034.6618337666
2020-01-01 01:18:30,Australia,949753.4823114924
2020-01-01 01:19:00,Australia,966310.1500903068
2020-01-01 01:19:30,Australia,1030312.7410725402
2020-01-01 01:20:00,Australia,1133714.6033405012
2020-01-01 01:20:30,Australia,1266827.7563962715
2020-01-01 01:21:00,Australia,1421222.532229686
2020-01-01 01:21:30,Australia,1590585.9101564048
2020-01-01 01:22:00,Australia,1770482.7293256877
2020-01-01 01:22:30,Australia,1957853.7691583657
2020-01-01 01:23:00,Australia,2150578.306324233
2020-01-01 01:23:30,Australia,2347161.8827009276
2020-01-01 01:24:00,Australia,2546528.3650595383
2020-01-01 01:24:30,Australia,2747884.311724871
2020-01-01 01:46:00,Svalbard,2333202.4665447935
2020-01-01 01:46:30,Svalbard,2127393.6744652744
2020-01-01 01:47:00,Svalbard,1923888.8396339084
2020-01-01 01:47:30,Svalbard,1723776.4684949354
2020-01-01 01:48:00,Svalbard,1528662.0789549937
2020-01-01 01:48:30,Svalbard,1341000.3009620614
2020-01-01 01:49:00,Svalbard,1164665.7287919333
2020-01-01 01:49:30,Svalbard,1005888.4804143525
2020-01-01 01:50:00,Svalbard,874516.7012988417
2020-01-01 01:50:30,Svalbard,784628.2918213716
2020-01-01 01:51:00,Svalbard,751384.9891506969
2020-01-01 01:51:30,Svalbard,782089.44697811
2020-01-01 01:52:00,Svalbard,869974.6012808233
2020-01-01 01:52:30,Svalbard,1000003.1295728895
2020-01-01 01:53:00,Svalbard,1157953.7817200306
2020-01-01 01:53:30,Svalbard,1333806.6425288059
2020-01-01 01:54:00,Svalbard,1521209.6512560232
2020-01-01 01:54:30,Svalbard,1716212.9533882483
2020-01-01 01:55:00,Svalbard,1916316.798973646
2020-01-01 01:55:30,Svalbard,2119888.262301316
2020-01-01 01:56:00,Svalbard,2325821.6765523637
2020-01-01 01:56:30,Svalbard,2533340.8581605977
2020-01-01 01:57:00,Svalbard,2741881.628877895
2020-01-01 02:19:30,Argentina,2251060.9874302247
2020-01-01 02:20:00,Argentina,2105836.7649257034
2020-01-01 02:20:30,Argentina,1973457.958143419
2020-01-01 02:21:00,Argentina,1856808.2111542125
2020-01-01 02:21:30,Argentina,1759131.1525767492
2020-01-01 02:22:00,Argentina,1683817.304396104
2020-01-01 02:22:30,Argentina,1634017.6033598206
2020-01-01 02:23:00,Argentina,1612121.9668432456
2020-01-01 02:23:30,Argentina,1619253.7935063115
2020-01-01 02:24:00,Argentina,1654997.3651178312
2020-01-01 02:24:30,Argentina,1717497.8182670365
2020-01-01 02:25:00,Argentina,1803881.18434941
2020-01-01 02:25:30,Argentina,1910794.4566375308
2020-01-01 02:26:00,Argentina,2034869.4553477322
2020-01-01 02:26:30,Argentina,2173018.7529826406
2020-01-01 02:27:00,Argentina,2322570.3580289115
2020-01-01 02:27:30,Argentina,2481291.6783292624
2020-01-01 02:28:00,Argentina,2647354.221232505
2020-01-01 02:28:30,Argentina,2819274.9159822506
2020-01-01 02:29:00,Antarctica,2224995.3599181203
2020-01-01 02:29:30,Antarctica,2039418.966913219
2020-01-01 02:30:00,Antarctica,1860054.9048769376
2020-01-01 02:30:30,Antarctica,1689098.080403999
2020-01-01 02:31:00,Antarctica,1529573.8284676038
2020-01-01 02:31:30,Antarctica,1385624.354094189
2020-01-01 02:32:00,Antarctica,1262752.7470117246
2020-01-01 02:32:30,Antarctica,1167765.8855555123
2020-01-01 02:33:00,Antarctica,1107953.4539726125
2020-01-01 02:33:30,Antarctica,1089173.701202915
2020-01-01 02:34:00,Antarctica,1113504.5055826784
2020-01-01 02:34:30,Antarctica,1178234.055489574
2020-01-01 02:35:00,Antarctica,1277153.6506134644
2020-01-01 02:35:30,Antarctica,1402939.6659921193
2020-01-01 02:36:00,Antarctica,1548927.7923293326
2020-01-01 02:36:30,Antarctica,1709800.9423759205
2020-01-01 02:37:00,Antarctica,1881581.5632105924
2020-01-01 02:37:30,Antarctica,2061370.8988921195
2020-01-01 02:38:00,Antarctica,2247065.818696075
2020-01-01 02:38:30,Antarctica,2437129.0302028554
2020-01-01 02:39:00,Antarctica,2630421.2418366494
2020-01-01 02:39:30,Antarctica,2826083.660921439
2020-01-01 02:40:00,Antarctica,3023456.899897125
